pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
65.447413,149.89898799999995,475.3943844,22800.0,-600.0000000000007,141.79876999999834,-377.2752550000007,-6.821210263296962e-11,-0.0002500000562122,-1.4210854715202004e-10,0.0,1.8793943,-6.3388672,-1.2514649,-6.0005859,0.0,0.0,0.0,0.0,0.0
53.447413,152.7349639,467.8488793,22800.0,-600.0,141.79879500000112,-377.27525500000354,3.410605131648481e-11,0.0012500001389526,-1.4210854715202004e-10,0.0,1.5019532,-6.2841797,-1.3291015,-2.1179444,0.0,0.0,0.0,0.0,0.0
41.4474275,155.5709358,460.3033834,22800.0,-599.999275,141.7985950000002,-377.2747949999996,0.036249999999427,-0.0100000000458067,0.0230000001977259,0.0,1.6835936,-6.2802733,-1.3364257,-1.0074463,0.0,0.0,0.0,0.0,0.0
29.479527,158.3993252,452.7780623,22800.0,-598.3950249999998,141.4194699999996,-376.2660549999964,80.21250000001032,-18.95625000003065,50.437000000158605,0.0,0.2006837,-5.9726563,-0.3413087,-0.7203368,0.0,0.0,0.0,0.0,0.0
17.7908787,161.1617185,445.4283326,22800.0,-584.432415,138.11966500000068,-367.4864850000034,698.1304999999907,-164.9902499999456,438.9784999996493,0.0,-5.1381836,-5.0488281,2.2138674000000003,-0.6613768999999999,0.0,0.0,0.0,0.0,0.0
6.7739802,163.76535629999998,438.500994,22800.0,-550.844925,130.18188999999865,-346.36692999999923,1679.3745,-396.8887500001017,1055.97775000021,0.0,-8.9638674,-4.0888672,4.7934571,-0.6598389,0.0,0.0,0.0,0.0,0.0
-3.1897932,166.12010779999997,432.2358524,22800.0,-498.18867,117.7375749999996,-313.25707999999963,2632.8127500000023,-622.2157499999525,1655.4924999999798,0.0,-14.067871,-3.2807617,6.765624900000001,-0.6485595,0.0,0.0,0.0,0.0,0.0
-11.9082807,168.1805592,426.7537362,22800.0,-435.924375,103.02257000000168,-274.1058100000004,3113.2147499999974,-735.7502499998958,1957.563499999964,0.0,-13.2539062,-3.1328125,7.0429687,-0.6301025,0.0,0.0,0.0,0.0,0.0
-19.3667683,169.9432333,422.063898,22800.0,-372.92438,88.1337049999999,-234.49190999999985,3149.999750000001,-744.4432500000886,1980.6950000000256,0.0,-15.4101562,-2.9970703,7.7514649,-0.6352296,0.0,0.0,0.0,0.0,0.0
-25.5652557,171.4081297,418.1663382,22800.0,-309.92437000000007,73.24481999999932,-194.87799000000047,3150.000499999996,-744.4442500000292,1980.6959999999665,0.0,-14.680664099999998,-2.8286133,7.6958006,-0.6183106,0.0,0.0,0.0,0.0,0.0
