Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,a_e,cut_angle,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
0,0.004,261.3521171316541,474.50030506632464,504.9400722225373,35.83900979567629,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,6.060808673210937e-05,-2.292895582902065e-06,6.760876922484138e-05,0.0,3.666959573447352e-06,9.93403065919955e-06,-2.8606511398766124e-08,0.0,-0.0025024564327957,1.487221805833267,-0.000490009741312,-0.2505225985858006,-0.0014488895147138,1.112279834789588,0.102955829278721,-42.90375315740393,0.002,0.0020529775664236,0.0090332205135288,0.0073817145296134,0.0,10.0,180.0,-0.2773209022224606,-5.599627161016072,0.3779196312531683,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,261.35211471672113,474.5003145788643,504.94008008705725,35.83942175747153,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,8.974179773974183e-06,-0.0001377063780808,3.4921931825089307e-06,0.0,5.681993275072333e-06,-1.7657736285323068e-07,-8.113257660919835e-06,0.0,-0.0005124456575498,-0.0005186121253357,-0.0014117492461648,-0.1267452950556568,4.7059734868988e-06,-0.0008507786292101,-0.034813815074672,-17.069960597837525,0.002,0.0020680885900131,0.0090132825604222,0.0072768136416116,0.0,10.0,180.0,-0.2772511222369014,-5.599678679273467,0.379832531713661,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,261.3521109022202,474.5003161882243,504.9400802246204,35.83916077200787,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,0.0001430496571008,-0.0001913647361585,-6.005611720522224e-05,0.0,9.516317117662006e-06,-1.7805334321169669e-06,-7.856972415277865e-06,0.0,-0.0009641302004984,0.2494946400843752,3.1919353708202095e-05,0.3497125479528834,0.0009585981891807,-0.1382641603519761,-0.0351864424538094,8.637858027115781,0.002,0.0021395550868586,0.00895080214614,0.007188658368678,0.0,10.0,180.0,-0.2772498557680186,-5.597689140867946,0.378822399550187,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,261.3521188552269,474.5003172536385,504.9400740234232,35.83931332984334,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,1.6633169486317296e-05,-0.0001109334752877,6.848379418648447e-05,0.0,1.980148854707176e-06,-3.238037564741032e-06,-1.844095190206928e-06,0.0,-0.0009519253951057,-0.4881091710185042,-0.0004862237879157,0.0008629005618258,-0.0004910615239831,-0.1247590580223786,-0.0003771966342094,8.55492456338433,0.002,0.0018977926752921,0.0089950060539997,0.0073702671634194,0.0,10.0,180.0,-0.2782859723907646,-5.598520165518938,0.3788364204962584,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,261.3521128672166,474.5003115885616,504.9400777398998,35.83917281244542,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,1.2015033688649624e-05,-0.0001043241848665,5.546647508999025e-06,0.0,7.355160368808983e-06,3.030196582608791e-06,-5.744545091724952e-06,0.0,-0.0004934969536966,0.4996640009137291,0.0005066112416141,-0.0120120769839759,-3.629447931087406e-06,-0.2490942850005459,0.0006237045030794,-8.62378591526264,0.002,0.0020081534991697,0.0091342080004773,0.0072683552422578,0.0,10.0,180.0,-0.2783268654920513,-5.597444962819173,0.3788606302418921,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,261.3521208021056,474.5003093583512,504.9400759908031,35.839155437726816,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-0.0001291686919655,9.183721514589111e-05,4.323101254461098e-06,0.0,-2.0053248258092e-07,4.8556932007510834e-06,-3.983673709781756e-06,0.0,-0.0005007487951879,0.1254900338642081,-0.0015043439113774,0.1258428941808158,0.0009316613593028,0.2626716077498047,-0.0334864904197785,17.1972560175534,0.002,0.0018759384255637,0.008835069318904,0.007353679067694,0.0,10.0,180.0,-0.2783239620660836,-5.598492656705157,0.3798020699556717,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,261.3521151486471,474.50031163107104,504.940078301718,35.83941734330578,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,5.990935679911466e-05,-4.539284761854174e-05,-0.0001305273052667,0.0,5.449769797494976e-06,2.7789962446680336e-06,-6.092056945442689e-06,0.0,-0.0024138332033549,-0.2496129673800742,0.0004287022372234,0.1130932582784926,-7.0588947862642444e-06,-0.2512762189545033,-0.0339741318736625,-8.561793442051401,0.002,0.001955409771577,0.0090087451571878,0.0072519630446889,0.0,10.0,180.0,-0.2783059553730334,-5.597656878295983,0.3787700755116259,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,261.35211522435674,474.50031389726166,504.9400761798466,35.83872654388365,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-8.738558509625833e-06,-6.162037255759539e-05,-2.8704366550777104e-06,0.0,5.172560741152496e-06,3.205545789996304e-07,-4.174274592275802e-06,0.0,-0.0005098023844082,0.2492692232869276,-0.0004710864991223,-0.1130942305811186,-0.0004828327288858,-0.0007270767386714,-0.0342741114557316,17.179789918297818,0.002,0.0017158897680411,0.0089122634046775,0.0072589727668096,0.0,10.0,180.0,-0.2783247647465021,-5.595783660912893,0.3797496217595218,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16,261.3521114530081,474.50031620042125,504.940077828289,35.839274856256964,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,0.0001125859951787,-0.0001391037085981,-1.3625959122938816e-06,0.0,8.929646018127434e-06,-1.973562437644969e-06,-5.821839981622791e-06,0.0,0.000456110702688,-0.2254271478331933,-6.06025215740204e-05,-0.3627037441800264,0.0005113817010898,-0.1238185092851903,7.137503325489458e-05,8.587374262756278,0.002,0.002094161289481,0.0091485124099767,0.0073187683055019,0.0,10.0,180.0,-0.2803463684428223,-5.595815782492939,0.3787999097310573,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18,261.35211533188806,474.5003046227832,504.9400740574265,35.839411710316,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,0.0001166136016886,0.000313567283279,5.867811554359724e-05,0.0,5.450315644415131e-06,9.388884316306564e-06,-1.8418458214389104e-06,0.0,-0.0019484823085286,0.3633084883528097,3.682876611367245e-05,0.4877534204043898,-0.0005126502117995,0.1132548165034641,-7.957994145788045e-05,-8.569126601231327,0.002,0.0016071173664428,0.0089928413129093,0.0072565792025654,0.0,10.0,180.0,-0.2794161919328181,-5.597783560292962,0.3788036987776103,0.0,0.0,0.0,0.0,0.0,0.0
10,0.2,261.3521212596796,474.5003166761441,504.94007434140497,35.8394179719753,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-7.520883364520696e-05,-0.0001412443576951,5.265695328112788e-05,0.0,-4.546858561882071e-07,-2.4953271159131886e-06,-2.1227717833220183e-06,0.0,-1.26737098883601e-05,0.0003047259367497,-0.0005088465047558,-0.5882308855794607,0.0014394753885674,0.4867443881464533,-0.0005703688314213,0.0239934611167933,0.002,0.0019833938785799,0.0090111768222173,0.007350152485916,0.0,10.0,180.0,-0.2793887361276732,-5.597743472411096,0.3788154316416509,0.0,0.0,0.0,0.0,0.0,0.0
11,0.22,261.3521214823586,474.5003150753456,504.9400763902131,35.83915759899417,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-0.0001486623660949,-0.0002023524634105,-7.008019631812086e-05,0.0,-8.706194412360565e-07,-5.07809394619016e-07,-3.984501815166851e-06,0.0,-0.0010050307505101,-0.2384013656050256,9.749652569987931e-06,-0.2634683406972841,-0.0018958803078981,-0.0003804196029441,0.0336162008066798,8.57588774399002,0.002,0.0016581499006558,0.0090454637236385,0.0071886798868443,0.0,10.0,180.0,-0.2783632355222676,-5.596680168632276,0.3778536079803626,0.0,0.0,0.0,0.0,0.0,0.0
12,0.24,261.35211558161666,474.5003127370669,504.94007609583167,35.83916641422759,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,0.0001108513386754,-0.000131116749411,-1.4028490431292143e-06,0.0,5.208447573575664e-06,1.847355672212484e-06,-4.103021834998132e-06,0.0,-0.0009859056806623,-0.1256664786032118,0.0005206368808609,0.1125968574648406,0.0005023224188117,0.3754676624802487,-0.0343665090020303,-0.0482879945865819,0.002,0.0022097983884685,0.0091187284469453,0.0075283071193015,0.0,10.0,180.0,-0.2783485030749756,-5.597599591314895,0.3778516697256705,0.0,0.0,0.0,0.0,0.0,0.0
13,0.2600000000000001,261.35212306282176,474.5003160283368,504.9400763286218,35.83915813384546,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-7.798289966276937e-05,-0.0001301399284927,6.059162506649863e-05,0.0,-2.085835359396276e-06,-1.8135540128907584e-06,-4.126349277701751e-06,0.0,-0.0004869262302804,-0.6118325895308396,0.0009559306603133,-0.4737201204875395,-0.001454049288273,-0.0124695312012989,0.0007333290383304,-0.0174696158839566,0.002,0.0016637453806153,0.0088585280076799,0.007250121674783,0.0,10.0,180.0,-0.2783393994053843,-5.594673791055364,0.3778704906367907,0.0,0.0,0.0,0.0,0.0,0.0
14,0.2800000000000001,261.3521189646939,474.5003103640646,504.9400781583389,35.83928112035856,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-2.968847946622698e-06,-7.391533992504138e-06,-1.3327972964530197e-05,0.0,1.822805822765008e-06,4.0639406956178285e-06,-6.1337436367539895e-06,0.0,0.0004974474069626,-0.3745235895338198,-0.0004668291120388,-0.2370190144015505,0.0010029537243926,-0.0005180610742132,-0.0338142914083358,0.0300509782319241,0.002,0.0018292793267246,0.009020844611091,0.0072004275779214,0.0,10.0,180.0,-0.2792884620430986,-5.595682304593469,0.3779137885675759,0.0,0.0,0.0,0.0,0.0,0.0
15,0.3000000000000001,261.3521190416596,474.5003124870251,504.9400760076643,35.83941463299878,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-3.6006990537168804e-06,-1.4324793181489157e-05,-1.1236466627335962e-05,0.0,1.7517835311070512e-06,1.7288335507446449e-06,-3.981576107028624e-06,0.0,-1.1177113131608483e-06,-0.0005948113718402,0.0009404335866571,0.011425632973951,0.0005109682986375,0.2497733755371119,-0.0001226234181513,-8.562034520825579,0.002,0.0018813064738637,0.0089813939136628,0.0073651306589556,0.0,10.0,180.0,-0.2802684658635453,-5.595701102077988,0.3788997209034891,0.0,0.0,0.0,0.0,0.0,0.0
16,0.32,261.35212094315017,474.5003204305307,504.9400737883234,35.83928237920465,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-7.178353017311467e-05,-0.0002695965821388,-1.9544496613725995e-06,0.0,-1.596408501704954e-07,-6.230577839972196e-06,-1.7906461337407648e-06,0.0,-0.0004902274095816,-0.6127940854399772,0.000964887506287,-0.3760121637090742,9.078318084580068e-06,0.250374744622901,-0.0002840174885856,-25.77271353832183,0.002,0.0018686955301406,0.0090348131582986,0.0072450009271844,0.0,10.0,180.0,-0.2783628595116875,-5.595701444395997,0.3778796109295296,0.0,0.0,0.0,0.0,0.0,0.0
17,0.3400000000000001,261.352118763496,474.50031802031145,504.94007770293376,35.83914861716893,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-0.0001354982342573,-0.0001896193666662,-0.0001230437342154,0.0,1.6152141463002618e-06,-3.822782218400922e-06,-5.535804934607668e-06,0.0,-0.0004946756269505,0.0006147843133414,0.0010214418698709,-0.7246438737076872,-0.001001117384061,-0.3620393990260987,-0.0344297440355139,-8.598617385194355,0.002,0.0017024571070586,0.0088711419543648,0.00730522796545,0.0,10.0,180.0,-0.2793549658442369,-5.595698389380649,0.3788010720791824,0.0,0.0,0.0,0.0,0.0,0.0
18,0.36,261.3521187920349,474.5003119489449,504.9400780094041,35.83928558242748,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-6.55305475389305e-05,-5.118759751565961e-05,-5.438616510082351e-05,0.0,1.794932568099656e-06,2.4535744693063787e-06,-5.649260622658839e-06,0.0,-0.0010082339335179,0.1256848850648833,-0.0004472243566695,0.0012454871812438,-7.569463756791759e-06,-0.2500255917119967,0.0688423961395246,-8.60245087515729,0.002,0.0019398555047186,0.009119604212393,0.0072913559868671,0.0,10.0,180.0,-0.2783251374327039,-5.593743939369576,0.3787750992073658,0.0,0.0,0.0,0.0,0.0,0.0
19,0.3800000000000001,261.3521230388114,474.50031009791854,504.9400781120744,35.839141924437534,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-7.027978525589785e-05,7.352873643947448e-05,-5.434330503542023e-05,0.0,-2.041024390065956e-06,4.104689726225551e-06,-5.737285466026618e-06,0.0,0.0004863440358056,-0.1251773312833776,0.0008856676781181,0.1252812085928089,-0.0014507226575827,-0.2630722293384287,-0.0338566579628293,8.571227855532353,0.002,0.0017653545919113,0.0090348342850008,0.0072870028817069,0.0,10.0,180.0,-0.2782695285316487,-5.595706777018426,0.3787789415656224,0.0,0.0,0.0,0.0,0.0,0.0
20,0.4000000000000002,261.3521192209912,474.500312367,504.9400760455064,35.83913005131848,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-7.439496847076998e-05,-6.481005392211467e-05,7.410311228241548e-05,0.0,1.382790709014513e-06,2.034534833744388e-06,-3.851423398300359e-06,0.0,0.0009977300907125,-0.1257991685818865,0.0004404466830562,-0.1255805830129882,0.0010046402859057,0.4877200137949465,0.000598171704757,-17.166498193259873,0.002,0.0019092207585762,0.008871935160598,0.0073227394529126,0.0,10.0,180.0,-0.2782507897794059,-5.595727302726513,0.3787924029096581,0.0,0.0,0.0,0.0,0.0,0.0
21,0.4200000000000001,261.3521173315855,474.5003084720617,504.9400798559756,35.838984110631806,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,5.640331208759605e-05,0.0001267893761809,2.5771536926165326e-06,0.0,3.4744123248630185e-06,5.72917226228109e-06,-7.85172249739868e-06,0.0,-0.0004406123947772,0.2373459981311908,0.0004968368878903,0.1250558071319289,-0.0010078471334336,0.1257656737465141,0.0688895061041369,17.20571179491355,0.002,0.0019027327941742,0.009104601124406,0.0072065602771609,0.0,10.0,180.0,-0.2782377207064019,-5.595731620912434,0.3768785457349427,0.0,0.0,0.0,0.0,0.0,0.0
22,0.4400000000000002,261.3521231643198,474.50031238224926,504.9400781071647,35.83953531689976,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-7.292958429148094e-05,-5.424965378686239e-06,-4.9259269498903705e-06,0.0,-2.153991346537972e-06,1.8151226647754217e-06,-6.105704488505917e-06,0.0,4.471120715152273e-06,-0.2618833508259158,-9.357172527338224e-06,-0.0995127791413105,-0.0010131482277417,0.4996167299967542,-0.0003529452077976,0.0256372320390923,0.002,0.0019745812933295,0.0089115926275168,0.0073146305673715,0.0,10.0,180.0,-0.2772701102544727,-5.595711404114945,0.3759872476565236,0.0,0.0,0.0,0.0,0.0,0.0
23,0.4600000000000001,261.352119013798,474.50031084690033,504.940074404724,35.83940961500049,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,6.87095583107169e-06,-1.3558197373522614e-05,6.25287495984939e-05,0.0,1.808239629866438e-06,3.547819994909458e-06,-2.21268261423298e-06,0.0,-0.0009594655406673,-0.4869371853705527,0.000484361943849,-0.0999525156646688,-0.000994146729428,0.2488917690682908,-0.0007657137947476,0.016593090321542,0.002,0.001818648314544,0.009163278881851,0.0072104545061409,0.0,10.0,180.0,-0.2782965679600587,-5.595702254170628,0.3750855008207997,0.0,0.0,0.0,0.0,0.0,0.0
24,0.4800000000000001,261.35211726684656,474.5003053034049,504.9400799123297,35.83956390773667,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,4.23451613870535e-06,0.0002369779636943,4.874795293867326e-06,0.0,3.3728084292679857e-06,8.891138490024685e-06,-7.925700793611866e-06,0.0,-0.0005125393722324,0.374642227048011,-6.519154058069206e-06,0.4740646277900387,-0.0009807438759952,0.2500414722506198,-0.0008662783963843,-8.596034532621388,0.002,0.0018765319260874,0.0087868254852011,0.0072124072757845,0.0,10.0,180.0,-0.2783198429480862,-5.595720429874908,0.3770338077143112,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5000000000000001,261.352115578874,474.5003052238238,504.94007760995,35.83930340938933,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,0.0001293787657367,0.0002399506913977,1.139245850424023e-05,0.0,5.266462658354067e-06,8.969524141201106e-06,-5.621981836913572e-06,0.0,0.000503108513418,0.3615891974166458,0.0009642683703502,0.3616892784808559,0.0005080086011596,-0.1241837658568366,0.0338818754618156,-0.0266011603549131,0.002,0.0019348046636223,0.0090412543514349,0.0073587840111485,0.0,10.0,180.0,-0.2773047880196524,-5.597662872540039,0.3759917828260039,0.0,0.0,0.0,0.0,0.0,0.0
26,0.5200000000000002,261.35211917827166,474.5003106588166,504.9400776064364,35.83930738253914,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-6.759537163945977e-05,5.798216329910695e-05,-0.000116569878697,0.0,1.4416124063771086e-06,3.5315889573176817e-06,-5.417722369772679e-06,0.0,-0.0014862526638617,-0.2500704091510398,0.0009679994697577,-0.2370628202568757,-6.258046239373216e-06,0.2504825490514761,0.0687313915432648,-0.0166625652832477,0.002,0.0020048237988421,0.0091036209251981,0.0072976958413248,0.0,10.0,180.0,-0.2782543917275872,-5.597603920362469,0.3759491332392028,0.0,0.0,0.0,0.0,0.0,0.0
27,0.5400000000000003,261.3521249532164,474.5003142429034,504.9400739994495,35.83930526325849,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-0.0001384282235282,-6.342280149517152e-05,7.356517328402685e-05,0.0,-3.972764635387507e-06,-5.496751199399543e-08,-1.808245531356781e-06,0.0,0.001506621011175,-0.3743639399037123,-0.0004476562305881,0.0133303080467277,-1.2353929491682165e-05,0.000224519411128,0.0344627457881243,0.0033392358628432,0.002,0.0019910892683782,0.0091476552368557,0.0073601685431772,0.0,10.0,180.0,-0.278276632765051,-5.597575678149099,0.3750106264257137,0.0,0.0,0.0,0.0,0.0,0.0
28,0.5600000000000003,261.3521113441506,474.5003165203778,504.9400780986476,35.83944097557977,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,0.000245000945549,-0.00019815433724,-4.56442479948772e-06,0.0,9.423479153520523e-06,-2.128791998265803e-06,-6.095923832712207e-06,0.0,0.0009453215346432,-0.0120780509661616,-0.0005068680153696,-0.3750924745524788,-0.0010168366332622,0.1250084685847546,-0.0342517362118264,-25.769069559567424,0.002,0.0019025907692163,0.0089036692802962,0.0072458996677739,0.0,10.0,180.0,-0.2782854842386369,-5.597588601496364,0.3760734825187096,0.0,0.0,0.0,0.0,0.0,0.0
29,0.5800000000000002,261.3521210844825,474.5003105576594,504.9400763727009,35.83916223534701,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-7.489485417240818e-05,-6.710861622332053e-06,-0.000141941334525,0.0,-2.95852057983255e-07,3.847489578035191e-06,-4.162362925268187e-06,0.0,-7.012693330887311e-06,-0.2502599014236799,6.266362645259913e-06,0.1239904184454491,0.0004931307353384,-0.0010289986158839,0.0003058225054946,-8.598646318818806,0.002,0.00185119032701,0.0090979644763238,0.0073592398433101,0.0,10.0,180.0,-0.2782795992595176,-5.5975749591772495,0.3751313965222754,0.0,0.0,0.0,0.0,0.0,0.0
30,0.6000000000000002,261.3521153464748,474.50030847861615,504.9400764775972,35.83915565519936,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,0.0001262084476237,6.122508938923681e-05,6.03584023876831e-05,0.0,5.466173868594432e-06,5.943906026032048e-06,-4.2811658507632845e-06,0.0,1.6132847514183264e-06,0.2370169098712569,-0.0018827361427511,0.3502053650685802,-0.0004336501399759,-0.0135025160584637,0.0002643531490898,0.0139022919188121,0.002,0.0019332610624637,0.0089896804162838,0.0073186453175451,0.0,10.0,180.0,-0.2783327931773607,-5.599512979127719,0.3750712064074467,0.0,0.0,0.0,0.0,0.0,0.0
31,0.6200000000000003,261.35212305178595,474.50031188523474,504.9400778458588,35.83942887218711,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-0.0001306817777026,3.815906036051144e-06,-0.0001178340857745,0.0,-2.229102976898127e-06,2.336385734687354e-06,-5.673222612355334e-06,0.0,5.998949687718031e-06,-0.1248679120713331,-0.0004521980300103,-0.0986167912727559,0.0015214510685846,0.000540396661673,-0.0001219258493569,-8.5693284232478,0.002,0.0018405004997577,0.0089434997667842,0.0074303864544034,0.0,10.0,180.0,-0.2774497826054937,-5.596628090997594,0.3730344597984949,0.0,0.0,0.0,0.0,0.0,0.0
32,0.6400000000000002,261.3521151943393,474.500314164666,504.94007359911865,35.83943320953943,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,6.58144547058615e-05,-6.387950673820278e-05,1.822621392801503e-05,0.0,5.426348220442669e-06,3.286253069909064e-08,-1.631987276727338e-06,0.0,-0.0009519680862173,-0.2494200542568313,-2.210495155787941e-05,0.2378776315954622,-0.0004991502612243,0.1262165133639678,-0.0002184460513984,-0.0103329981002203,0.002,0.0020476531760387,0.0090250796033139,0.0073183747899339,0.0,10.0,180.0,-0.2774897872892816,-5.596655807281314,0.3739838481192045,0.0,0.0,0.0,0.0,0.0,0.0
33,0.6600000000000004,261.3521171317187,474.50031100620873,504.9400739835075,35.83957069222269,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-2.383039991797826e-06,-7.926613936083193e-06,7.625026152840466e-05,0.0,3.474502443020281e-06,3.369500270839401e-06,-1.7987407287285175e-06,0.0,-1.004423001683824e-05,0.250058264979985,-1.891870127509829e-05,-0.2505215124609081,0.0004840451841061,0.500282893015773,-0.0341013007636368,-25.77849719414358,0.002,0.0019817162802262,0.009086731955184,0.0072941560832389,0.0,10.0,180.0,-0.2774660655849486,-5.596603744418531,0.3720606116974647,0.0,0.0,0.0,0.0,0.0,0.0
34,0.68,261.3521174634073,474.5003092583864,504.94007626800914,35.83901162050954,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,0.0001148968171964,-1.3475857239910456e-05,6.362482963569085e-05,0.0,3.526834223384793e-06,5.313524128913716e-06,-4.062975819356033e-06,0.0,0.0009509582991631,-0.2511028777640455,0.0008943612946556,-0.0007153409281341,0.000491421843804,-0.0133587300869287,0.0349751949767613,17.173653734249307,0.002,0.0019715455919664,0.0089436565551072,0.007419076954681,0.0,10.0,180.0,-0.2774320806594278,-5.597570324109783,0.3740612849672288,0.0,0.0,0.0,0.0,0.0,0.0
35,0.7000000000000003,261.35211702038885,474.5003130397308,504.9400702577782,35.839001353209326,261.352121,474.5003140000001,504.9400730000002,33.600000000000016,-7.076481049192123e-06,-8.181791389817568e-05,5.942346486644261e-05,0.0,3.560341951369481e-06,1.3430694207250203e-06,1.954844987590059e-06,0.0,-0.0004785645909151,0.2494769766753599,-0.0009431340097383,-0.000450208484542,-0.0004908782212308,0.4992924686170322,0.0003135531715129,0.0253943494915319,0.002,0.0019391516221388,0.0090893371896256,0.007499188247813,0.0,10.0,180.0,-0.2773986657086054,-5.595706648324961,0.3711538650252108,0.0,0.0,0.0,0.0,0.0,0.0
