Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,a_e,cut_angle,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
0,0.004,263.149939456133,480.877802934751,556.7530724271176,146.96915496872668,263.14993600000025,480.87780000000015,556.7530730000002,187.54915600000007,-3.111966251461103e-05,-0.0001000275142026,5.5719434072148166e-05,0.0,-3.257886470516224e-06,-2.934750876552125e-06,9.75079934677667e-07,0.0,-0.0009028155015355,0.8117971358087935,-0.0010014641287091,0.7365847594557386,4.810159336652436e-07,0.624940195424075,0.0687648900959252,-0.0097977396094378,0.002,0.0076642275423874,0.0103092109330375,-0.0004948385334328,0.0,10.0,180.0,-0.3212816141892181,-5.522456670009431,0.4287100202435046,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,263.14993961120905,480.8777973346172,556.7530801058111,146.96888554907133,263.14993600000025,480.87780000000015,556.7530730000002,187.54915600000007,-3.615501272426193e-05,8.734456333925764e-05,-0.0001121892046528,0.0,-3.4145792822053546e-06,2.665382962624925e-06,-7.096325323051907e-06,0.0,-0.0009098205075158,-0.3520867073720888,0.0009444903781642,0.1220999836139612,-0.0014998941800047,-0.125320577251586,-0.0340031923255821,17.131459763905127,0.002,0.0078643374831251,0.0102032034816279,-0.0006355474230316,0.0,10.0,180.0,-0.3241784512635953,-5.522453285228887,0.4286899030395566,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,263.14993952577805,480.8777995133341,556.7530743304741,146.96887844963754,263.14993600000025,480.87780000000015,556.7530730000002,187.54915600000007,-1.013384151199188e-05,8.602172097479039e-05,8.741050426829442e-05,0.0,-3.113431677131552e-06,4.866660617810229e-07,-1.1194267716322216e-06,0.0,0.0004498745381787,-0.1138036595237414,-0.0004502228814982,0.3485167792178815,-0.001005019351176,-0.0122300619936798,0.0351018326149016,8.564488594135852,0.002,0.0077562759234833,0.010225538383653,-0.0005136053998304,0.0,10.0,180.0,-0.3221886622670978,-5.52151895539415,0.4256775835974187,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,263.1499431128721,480.87779726916034,556.7530722486916,146.96913801243986,263.14993600000025,480.87780000000015,556.7530730000002,187.54915600000007,-0.000120460093284,9.343259875852002e-05,5.990474362548923e-06,0.0,-6.889442911143147e-06,2.730839860454265e-06,7.5304378257309e-07,0.0,0.0004569633686877,-0.2370402618347939,-0.0004941061047204,0.1254432348272974,-0.0005098728473832,0.3751662208093093,0.0005713903286673,-17.148507386711508,0.002,0.0079390088523123,0.0103011543449303,-0.0005344910251533,0.0,10.0,180.0,-0.3241520952756368,-5.52252888312196,0.428510191205535,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,263.1499352995501,480.8777952018701,556.7530743977204,146.96913148225678,263.14993600000025,480.87780000000015,556.7530730000002,187.54915600000007,0.0001639193609696,0.0001937044405775,3.128490250706445e-06,0.0,7.09942416603707e-07,4.798130142571379e-06,-1.4062685355924776e-06,0.0,-0.0014015195545646,0.3751335794828218,-0.0009971510377502,0.2500476447051064,-0.0005010906704828,-0.2383559374657229,1.6446580716648222e-05,-17.15295542819691,0.002,0.0077054773278865,0.0102258986472931,-0.0005510315878045,0.0,10.0,180.0,-0.3232414341513567,-5.522497157236527,0.4275287117215809,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,263.1499373604518,480.8778009751522,556.7530726606885,146.9689951999474,263.14993600000025,480.87780000000015,556.7530730000002,187.54915600000007,8.683462369197616e-05,-3.272351783603116e-06,5.894948223855562e-05,0.0,-1.1642762837074244e-06,-9.751521007170696e-07,7.346940740282708e-07,0.0,0.0004508681041667,-0.1007185050284663,0.0009546766398971,0.3495469805149723,-0.0014352405645094,0.2245212482939044,0.0343403925683148,17.165445718962143,0.002,0.0078564890220737,0.0102530102368038,-0.0004886209107625,0.0,10.0,180.0,-0.323280670321646,-5.523426619279279,0.4295802214609795,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,263.14994724155395,480.87779686302855,556.7530739563781,146.96899439874255,263.14993600000025,480.87780000000015,556.7530730000002,187.54915600000007,-0.00034763609973,9.64732672933436e-05,6.596547283898864e-06,0.0,-1.0636042384149727e-05,3.136971651373028e-06,-9.46201169014538e-07,0.0,-0.0009409259144509,-0.3876088525657296,0.0005047982191913,0.0126762819442473,6.15206067385396e-05,-0.2367962060382065,0.0343938951821425,17.176239865402515,0.002,0.0077651257769892,0.0102810139121161,-0.0004429185051866,0.0,10.0,180.0,-0.322263476205865,-5.523420432811042,0.4277195411020184,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,263.14993928133,480.8778008388948,556.7530720974995,146.96927297486644,263.14993600000025,480.87780000000015,556.7530730000002,187.54915600000007,-0.0001331628523034,-9.94649764308885e-05,9.136993040497836e-05,0.0,-2.862291412033082e-06,-8.388947614602948e-07,1.119219095384765e-06,0.0,-0.0009456846677067,0.0005304529348506,-3.4462875365648427e-06,0.2380072111423325,-5.526682043942299e-06,0.1132090320000886,0.0681723700009501,-25.72471449257539,0.002,0.0080874823400162,0.0104323836025178,-0.0004807521420292,0.0,10.0,180.0,-0.3231929442111311,-5.522464818435291,0.4287031814936058,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16,263.14993551315104,480.8777952030449,556.7530740945228,146.96914757619123,263.14993600000025,480.87780000000015,556.7530730000002,187.54915600000007,7.096621562474069e-06,9.697800239009876e-05,2.1763538264283408e-06,0.0,1.306090406742199e-06,4.796955165162002e-06,-1.0855631729295516e-06,0.0,0.000442122856156,-0.0119325397716968,0.0014382057306622,0.3627411353714207,-1.1085567772930964e-05,0.124868709798162,-0.0005473802357202,-0.0215933686962628,0.002,0.0077899504071392,0.0103822299056543,-0.0005085754532885,0.0,10.0,180.0,-0.3212572543364835,-5.521489803839068,0.4286576922658728,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18,263.1499357555226,480.8777994393046,556.7530742539352,146.96942717015983,263.14993600000025,480.87780000000015,556.7530730000002,187.54915600000007,4.2837504884024746e-08,-4.803798923065156e-06,-5.352393181468759e-06,0.0,1.0537455084903208e-06,5.606954956221425e-07,-1.254114146429196e-06,0.0,-0.000913887259008,0.2248898584978284,-8.300329920047072e-06,-0.1256927050554714,-3.660316464316038e-06,0.1245586031026114,-0.0686268512517462,-17.19967199018999,0.002,0.0078669741014658,0.0102097928063695,-0.0003735059551327,0.0,10.0,180.0,-0.3222747726104583,-5.522460746838093,0.4286557728184525,0.0,0.0,0.0,0.0,0.0,0.0
