Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
0,0.004,-285.09780876378534,534.8385510884166,525.1407810152381,637.1486286715685,-285.0978110000001,534.8385470000001,525.140785,637.0827110000005,-0.0001406810303414,-0.0001332927253105,-1.233112546596656e-06,0.0,-2.6346764058260416e-06,-4.08725214096418e-06,3.984762155477201e-06,0.0,-0.0019545250840139,1.424474531041167,8.844264539445077e-07,-0.7501935005831752,-3.506988373267513e-06,0.2504751536694651,3.947078365773247e-05,-0.0073260668008014,0.002,0.0008577365159023,0.0028205944188716,0.001064073351267,0.0,-0.2617553928288244,-5.3613483990578725,0.4375136336517379,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,-285.09781060465195,534.8385453481022,525.1407791513108,637.1487704275103,-285.0978110000001,534.8385470000001,525.140785,637.0827110000005,-7.57132352483362e-05,5.361779641007388e-05,-6.912899312017882e-06,0.0,-9.905781050113555e-07,1.6575707680450485e-06,5.8486894182478e-06,0.0,-0.0009194184214589,-0.1266316160640951,-0.0009966905202621,-0.2506106440468743,-0.0010145480610387,0.2511006127287993,0.0001992588613831,-8.600856944313971,0.002,0.0008493830357499,0.0028830622341506,0.001192135256566,0.0,-0.2638391349486188,-5.360427110506189,0.4375681915781061,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,-285.09781040056754,534.8385473613283,525.140773688018,637.1486306692244,-285.0978110000001,534.8385470000001,525.140785,637.0827110000005,-8.289737925333971e-05,-1.1780398764173976e-05,0.0001159079991895,0.0,-1.1963764968525109e-06,-5.5218104927823e-07,1.1311981964991292e-05,0.0,-1.4713546835013104e-05,-0.4766497309638263,-4.921327098543204e-05,-0.2373619372820322,0.0004892762020423,0.4995256468551163,0.0003004078938032,-0.0113374077556825,0.002,0.0008552918209844,0.0028503866442403,0.0012715611696962,0.0,-0.2619667490890217,-5.361380482439076,0.4395794497731218,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,-285.0978141522861,534.8385452677693,525.140781743921,637.1486238604762,-285.0978110000001,534.8385470000001,525.140785,637.0827110000005,-1.715490791986317e-05,5.651243827375481e-05,0.0001197964605789,0.0,2.561948152996803e-06,1.7390591287531126e-06,3.2560792117556247e-06,0.0,5.200127779106003e-06,-0.1258311705591051,1.2259471098598206e-07,0.6252512082214681,1.127863767116037e-05,-0.2512121719844788,0.0002189669004393,0.0126351106392576,0.002,0.000842807007363,0.0027732391970863,0.0010881324250755,0.0,-0.2619390975725809,-5.361315991089781,0.4376489812280311,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,-285.0978105151019,534.838545210497,525.1407851593216,637.1486209842886,-285.0978110000001,534.8385470000001,525.140785,637.0827110000005,-8.263635893557217e-05,5.816543482389396e-05,-6.373371104223966e-05,0.0,-1.0695072552324426e-06,1.7906624246328536e-06,-1.5932134907597893e-07,0.0,-0.0004874030393286,-0.1126334198652419,-0.0009953783996716,-0.0002831032792936,0.0005210750476355,-0.3746607037743546,0.0686586558603247,0.0011552072035002,0.002,0.0008353562334801,0.0027959583842064,0.0011253440109982,0.0,-0.2618670729421949,-5.362264441105474,0.4395809262545193,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,-285.0978145083056,534.8385530636102,525.1407790694193,637.14876047439,-285.0978110000001,534.8385470000001,525.140785,637.0827110000005,-2.380748963890728e-06,-0.000197674407908,0.0001356171451458,0.0,2.9078643253632427e-06,-6.064639166497428e-06,5.930581068296965e-06,0.0,-0.000441969791007,-0.1124899716653027,-0.0009903428547827,-0.4999919730203583,-0.0004958444267495,0.2387088366190689,-0.034500142591037,-8.567508253101703,0.002,0.0008661856323133,0.0028669733182019,0.0011918689047066,0.0,-0.2618237485763532,-5.360346541932996,0.4385678285375506,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,-285.0978126273573,534.8385449184385,525.1407771674861,637.1486285395889,-285.0978110000001,534.8385470000001,525.140785,637.0827110000005,-6.360587536705702e-05,6.787515199413849e-05,0.00012885621999,0.0,1.2110212866925187e-06,2.082270073019068e-06,7.832513985712479e-06,0.0,3.905273112777716e-06,0.0001887407859961,-0.0004972819708086,0.3756528777409268,-0.0004606216468184,0.1127236824177997,-0.0002931798765629,-0.0010720469230986,0.002,0.0008296434877875,0.002868795095294,0.0011436289235618,0.0,-0.2598249179248396,-5.361387950553895,0.4395348467591756,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,-285.09780905109466,534.8385449667477,525.1407771717417,637.1487705944148,-285.0978110000001,534.8385470000001,525.140785,637.0827110000005,-6.41611096143288e-05,6.626624786158396e-05,-6.700123427616023e-06,0.0,-2.753338170323175e-06,2.033351801660467e-06,7.828258343675822e-06,0.0,-0.0005026519427876,-0.4745674682582598,-0.0010055650679973,-0.124911300108836,0.0004930242425755,0.3744967264559101,-0.0001563704483021,-0.0115132898140927,0.002,0.0008359399482585,0.0028045021272191,0.0011056731452369,0.0,-0.2607144723776479,-5.360403741012092,0.4385606800895837,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16,-285.0978105002079,534.8385470309697,525.1407871954358,637.1489086705052,-285.0978110000001,534.8385470000001,525.140785,637.0827110000005,-0.0001440500202544,-1.1952334046921062e-06,-7.304723753833469e-05,0.0,-6.804286253458023e-07,-3.6336427550347206e-08,-2.19543555240488e-06,0.0,-1.2121887891728724e-05,-0.1246778112951912,-0.0004989939564913,-0.3755347910266564,0.0005046713192824,-0.4880209405389333,4.862311447394463e-05,-17.156720694375217,0.002,0.0008291387581537,0.0028168732456779,0.0011925866905227,0.0,-0.2616315243963523,-5.36224307758491,0.4385252538196716,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18,-285.0978142507252,534.8385507479483,525.1407792272063,637.1487702956822,-285.0978110000001,534.8385470000001,525.140785,637.0827110000005,4.176542742145397e-05,-0.000128813701406,0.0001267971329631,0.0,2.8756990587769533e-06,-3.957378451381388e-06,5.772793834902296e-06,0.0,0.0008908329114296,-0.2382295803841123,0.0010048642767645,-0.1122371648472312,9.861556643288296e-06,0.2501357935643341,-0.0342781685788178,-8.570050052637155,0.002,0.0008594381605184,0.0028589969191628,0.0011698284634688,0.0,-0.2597111682480727,-5.360190503387748,0.4394309922237932,0.0,0.0,0.0,0.0,0.0,0.0
