Unnamed: 0,f_x,f_y,f_z,pos_x,pos_y,pos_z,pos_sp,curr_x,curr_y,curr_z,curr_sp,v_x,v_y,v_z,v_sp,a_x,a_y,a_z,a_sp,pos_x_sim,pos_y_sim,pos_z_sim,v_x_sim,v_y_sim,v_z_sim,v_sp_sim,a_x_sim,a_y_sim,a_z_sim,a_sp_sim,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,m_sp_sim,materialremoved_sim,F_sim
0,-26467.46826174283,1.953125,-6617.187500006019,-5.5811592,225.2607531,543.3477479999999,141.0529467,-0.3085935999999999,-5.0683591,0.4858395,-0.2635254999999999,-0.0049350000000281,-0.0167600000011702,-0.0047849999987192,392.6994300000004,-15.35499999999912,-29.15962499997704,-65.76424999991559,34619.46474999998,-56.21,-235.99,-338.81,0.0,0.0,124.68,0.0,0.0,0.0,0.2078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-26345.39794924272,1.953125,-6586.669921880993,-5.581257900000001,225.2604179,543.3476522999999,148.9069353,-0.2138671999999999,-4.941894400000001,0.1459959,-9.3879638,-0.3120350000000105,-0.5999525000007111,-1.3200699999970311,1085.0887249999998,-70.98918749999905,-113.5323124999843,-294.1997499998905,53334.63187499999,-56.21,-235.99,-338.71,0.0,0.0,498.72,0.0,0.0,0.0,0.4156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-26223.32763674261,1.953125,-6556.1523437559645,-5.5936406000000005,225.236755,543.2949452,184.4564957,1.3305664,-3.3242188999999995,-4.7368164,-16.738989399999998,-2.84450249999999,-4.558052500000542,-11.77277499999434,2526.084705,-226.7810624999994,-348.08606249997706,-920.640687500054,73051.40018749998,-56.21,-235.99,-338.45,0.0,0.0,1122.12,0.0,0.0,0.0,0.6234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-26101.25732424249,1.953125,-6525.634765630937,-5.695038,225.0780958,542.8767413000002,249.9503235,2.7534181,-1.8286133,-8.4760741,-19.4208984,-9.383277499999986,-14.523394999999796,-38.14569749999919,4007.1447325,-432.1943749999995,-657.6038749999568,-1729.185312500263,73340.86431250002,-56.21,-235.99,-337.95,0.0,0.0,1797.31,0.0,0.0,0.0,0.46127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-25979.18701174238,1.953125,-6495.117187505908,-5.9689717,224.6558192,541.7691173000001,344.742285,4.189453,-0.1157226,-12.7006837,-20.015625,-20.13227749999997,-30.862207499998817,-80.94018750000487,5459.719277500001,-606.9958125000003,-926.42549999999,-2431.6133750000545,72367.45856250003,-56.21,-235.99,-337.28,0.0,0.0,2226.16,0.0,0.0,0.0,0.25347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-25857.116699242277,1.953125,-6464.599609380879,-6.500329099999999,223.8436075,539.6391338,468.33909460000007,4.5214846,0.4238281,-14.126464899999998,-20.4852539,-33.66311,-51.58041499999939,-135.41023250000137,6901.843075000001,-702.9436875000016,-1078.8909375000344,-2837.83081249986,72155.32768749993,-56.21,-235.99,-336.5,0.0,0.0,2405.64,0.0,0.0,0.0,0.04567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-25735.04638674216,1.953125,-6434.082031255853,-7.3154961,222.5926026,536.352708,620.816008,4.8886719,0.7124022999999999,-14.8461916,-20.8185058,-48.25002500000004,-74.0178450000002,-194.45341999999928,8345.932384999998,-743.0438750000005,-1142.1595625000336,-2998.2861874999853,72081.12706249995,-56.21,-235.99,-335.7,0.0,0.0,2329.74,0.0,0.0,0.0,-0.16213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-25612.97607424205,1.953125,-6403.564453130821,-8.4303301,220.8828937,531.860997,802.17639,4.9687499,0.8764649999999999,-15.201660099999998,-21.3112061,-63.38486500000002,-97.26679750000072,-255.3416800000008,9785.088157499998,-763.5839374999982,-1173.1300624999897,-3073.588749999985,71956.8445625001,-56.21,-235.99,-334.97,0.0,0.0,2010.5,0.0,0.0,0.0,-0.36993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-25490.90576174194,1.953125,-6373.046875005797,-9.8508907,218.7019307,526.1390408,1012.2195343,5.039062599999999,0.890625,-15.5307618,-24.2843262,-78.79338249999996,-120.94304749999978,-317.39696999999865,11224.206167500002,-772.785499999999,-1187.8668124999515,-3116.131374999931,72105.50312500005,-56.21,-235.99,-334.39,0.0,0.0,1441.91,0.0,0.0,0.0,-0.57773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-25368.83544924183,1.953125,-6342.529296880769,-11.5820654,216.0451718,519.1651182,1251.1446367,5.025390799999999,0.9335938,-15.705566400000004,-29.0780274,-94.29628499999998,-144.7814699999988,-379.986934999998,12669.3082825,-762.7705000000017,-1170.7713125000296,-3071.766562500073,72181.67756249977,-56.21,-235.99,-334.03,0.0,0.0,736.0,0.0,0.0,0.0,-0.506939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
