Unnamed: 0,f_x,f_y,f_z,pos_x,pos_y,pos_z,pos_sp,curr_x,curr_y,curr_z,curr_sp,v_x,v_y,v_z,v_sp,a_x,a_y,a_z,a_sp,pos_x_sim,pos_y_sim,pos_z_sim,v_x_sim,v_y_sim,v_z_sim,v_sp_sim,a_x_sim,a_y_sim,a_z_sim,a_sp_sim,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,m_sp_sim,materialremoved_sim,F_sim
0,22167.724609294342,-22167.724609294342,-2232.1166992106964,261.3519541,474.49997650000006,504.939997,270.2112409,-0.302734,-5.5869144,0.3759769999999999,0.0,-0.0002000000023372,5.5000000998006726e-05,0.0072299999999358,-0.017175000002112,0.0100000001168609,0.0044999998749517,-0.4432499999040828,0.5152500001059934,-56.21,-235.985,-338.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22045.65429679479,-22045.65429679479,-2219.909667960731,261.35195009999995,474.4999776000001,504.9401416,270.2108974,-0.3022458,-5.5869144,0.3735353,0.0,0.0,0.000144999998497,-0.0016349999981457,-0.0068699999999921,0.0093125000688587,-0.0056250000568525,-0.1879999999232495,0.472312500079397,-56.17,-235.96,-338.81,332.88,219.84,124.68,0.0,0.5548,0.3664,0.2078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,21923.58398429524,-21923.58398429524,-2207.702636710775,261.3519541,474.4999823,504.9399316,270.2109661,-0.3017576,-5.587890799999999,0.3754882,0.0,0.0001725000004171,-0.000170000001276,-0.000289999996994,0.0017175000010638,-0.0098125000036475,-0.0163749999515516,0.1159999999700289,0.171749999999804,-55.91,-235.79,-338.71,1331.52,879.36,498.72,0.0,1.1096,0.7328,0.4156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,21801.51367179569,-21801.51367179569,-2195.495605460819,261.351957,474.4999708,504.94013000000007,270.2109661,-0.3027342,-5.5908203,0.361328,0.0,-0.0003925000001459,-0.000509999999565,0.0030050000006554,0.0,-0.0165000000151849,0.0017500000382142,-0.1301875001047392,-3.552713678800501e-11,-55.21,-235.33,-338.45,2995.92,1978.56,1122.12,0.0,1.6644,1.0992,0.6234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,21679.44335929613,-21679.44335929613,-2183.288574210866,261.3519384,474.4999619,504.9400518000001,270.2109661,-0.3037107,-5.5917966,0.3647460999999999,0.0,-0.0004875000001902,-9.999999974752428e-05,-0.0054975000011836,0.0017174999996427,-0.0035624999839001,0.0171249999780798,0.5816875000164146,-0.0858750000176655,-53.84,-234.42,-337.93,5326.08,3517.44,1994.88,0.0,2.2192,1.4656,0.8312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,21557.37304679658,-21557.37304679658,-2171.08154296089,261.3519375,474.4999668,504.9399101,270.2110348,-0.3032223,-5.5942381,0.3754883,0.0,-0.0005349999995019,0.0001749999995581,0.0262725000013119,-0.0034350000007066,0.0098125000036475,-0.0041874999823221,0.4151250000106188,-0.171749999999804,-51.59,-232.93,-337.09,8322.0,5496.0,3117.0,0.0,2.774,1.832,1.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,21435.302734297013,-21435.302734297013,-2158.87451171095,261.351917,474.4999689,504.9411027000001,270.2108287,-0.3071289,-5.595703,0.2934570999999999,0.0,-9.500000004436517e-05,-0.0002674999990404,0.0111074999992411,-0.0051525000003493,0.0524374999955057,-0.0063124999982733,-1.1261875001267183,0.1717500000353311,-48.29,-230.71,-335.83,11346.68,7914.24,4488.48,0.0,2.243427,2.1984,1.2468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,21313.232421797467,-21313.232421797467,-2146.6674804609984,261.3519337,474.4999561000001,504.9403544,270.2108287,-0.3115236,-5.5976562,0.2631835,0.0,0.0015625000003183,-7.75000003727655e-05,-0.0187750000037567,0.0034350000007066,0.0144375000132868,0.0078749999232741,-0.3281874999672141,0.1717500000353311,-44.1,-227.61,-334.07,13705.91,10772.16,6109.32,0.0,1.688627,2.5648,1.4546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,21191.16210929791,-21191.16210929791,-2134.4604492110343,261.3519795,474.4999658,504.9403517,270.2109661,-0.3076172,-5.6010743,0.2329100999999999,0.0,0.0004825000004871,4.749999789055437e-05,-0.0020199999994474,0.0017175000010638,-0.0464375000319705,6.250004958019417e-05,0.351437500150098,-0.1717500000353311,-39.23,-223.48,-331.73,15399.38,14069.76,7979.52,0.0,1.133827,2.9312,1.6624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,21069.09179679836,-21069.09179679836,-2122.25341796108,261.351953,474.499958,504.9402736,270.2108974,-0.3085936999999999,-5.6044924,0.2143554,0.0,-0.0002950000009604,-7.499999838955773e-05,-0.0047174999977528,-0.0034350000007066,-0.0138749999933907,0.0012500000678983,-0.0234374999763531,-0.0429375000265963,-33.9,-218.18,-328.72,16427.09,17807.04,10099.08,0.0,0.579027,3.2976,1.8702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
