Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,a_e,phi,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
2591,51.819,-48.6081268,309.45455359999994,392.1599708,400602.4647048001,-48.6479899,309.4999457,392.16001,400722.013156,-1.0206724,1.2049564,0.00131,19200.0,-0.0290437,0.0345723,3.919999999999981e-05,0.0,-0.4987749999997959,212.70625000000547,1.0409999999993147,-87.76250000011032,0.0048750000004815,1.8874999998530484,19199.7585249992,42.91250006657792,0.002,-0.0205426025390625,0.01312255859375,-0.0183270263671875,6.0,10.0,180.0,-0.7998047,-5.2490234,-0.4277347999999999,-0.6716308,-8.841041234486891e-19,1.0566869084650744e-17,2.268289455534887e-18,1.0603795258137259e-17,0.0
2592,51.839,-48.6192294,309.47581640000004,392.1600693,400986.4650253,-48.648054,309.50001,392.16001,401106.013156,-0.9608294,0.8064531,-0.0019657999999999,19200.0,-0.0288248,0.0241936,-5.930000000000018e-05,0.0,-1.6841000000001216,-64.63125000002454,0.96777500000087,-46.33124999990912,0.005849999999441,-2.925000000075784,19199.8615250006,4.293750316847581,0.002,0.024288330078125,0.0180474853515625,-0.0198980712890625,6.0,10.0,180.0,0.9277343,-5.6884766,-0.4282229,-0.6700927,-4.420520617243447e-19,5.283434542325371e-18,1.1341447277674437e-18,5.3018976290686295e-18,0.0
2593,51.859,-48.6383964,309.4890675,392.1599345,401370.4649337,-48.648054,309.50001,392.16001,401490.013156,-0.3219296,0.3647538999999999,0.0025143,19200.0,-0.0096578,0.0109426,7.549999999999982e-05,0.0,0.1623750000000257,41.19375000004591,0.4658500000005006,-17.57499999968104,0.0109999999992282,2.075000000090199,19199.86154999933,30.0437495753984,0.002,-0.0022259521484375,0.015262451171875,-0.012657470703125,6.0,10.0,180.0,0.0629883,-5.7499998,-0.4213866,-0.6762450999999999,-2.2102603086217233e-19,2.6417172711626856e-18,5.670723638837217e-19,2.6509488145343144e-18,0.0
2594,51.879,-48.643205,309.4949747,392.160006,200874.4969773,-48.648054,309.50001,392.16001,200994.805156,-0.1616433,0.1678464999999999,0.0001379,19416.0,-0.0048493,0.0050353,3.999999999999822e-06,0.0,-0.571799999999989,33.88124999998968,0.1576999999997497,-5.2562500002295565,-0.0207500000001914,-0.1812499998976591,-20068775.213250004,11569.97500043957,0.002,0.004752197265625,0.01859619140625,-0.016507568359375,6.0,10.0,180.0,0.354004,-5.780273599999999,-0.4282226999999999,-1.3125,-1.1051301543108614e-19,1.3208586355813428e-18,2.8353618194186087e-19,1.3254744072671572e-18,0.0
2595,51.899,-48.6448193,309.4976591,392.1599258,386.1112351,-48.648054,309.50001,392.1547833,515.077156,-0.1078346,0.0783608,-1.3973244,20712.0,-0.0032351,0.0023509,8.089999999999983e-05,0.0,0.0673750000000694,-33.45000000005702,0.1013000000000374,-8.287500000037085,-0.080324999998993,-46.75624999954664,20169.199,73986.05000000022,0.002,0.0104815673828125,0.0155194091796875,0.210350341796875,6.0,10.0,180.0,0.4790039,-5.7875977,-0.7558594,-23.5706543,-5.525650771554307e-20,6.604293177906714e-19,1.4176809097093043e-19,6.627372036335786e-19,0.0
2596,51.919,-48.6478134,309.4988389,392.1016397,804.2059084,-48.648054,309.50001,392.0091767,943.717156,-0.0080299,0.0390376,-15.3243217,22152.0,-0.0002408,0.0011711,0.0337702,0.0,-0.0536999999999565,31.42500000001827,0.0510500000004299,-0.2500000000793534,-9.068100000000356,-945.2500000005416,21627.874375,71054.93749999956,0.002,-0.000206298828125,0.01385009765625,0.459288330078125,6.0,10.0,180.0,0.2714845,-5.7875978,-4.9663088,-43.028979500000005,-2.762825385777153e-20,3.302146588953357e-19,7.088404548546522e-20,3.313686018167893e-19,0.0
2597,51.939,-48.6471601,309.49964450000004,391.6850869,1250.669478,-48.648054,309.50001,391.3773623,1401.104356,-0.0298073,0.0121823,-42.1895625,23558.4,-0.0008943,0.0003655,0.1746928999999999,0.0,-0.081300000000084,-14.643749999976276,0.0058500000008621,1.5312500003972218,-34.62650000000025,-1533.1374999995262,23004.27245,66664.69375000068,0.002,0.0075848388671875,0.017052001953125,0.330250244140625,6.0,10.0,180.0,0.4384767,-5.7714843,-7.5976563,-50.6378906,-1.3814126928885768e-20,1.6510732944766785e-19,3.544202274273261e-20,1.6568430090839465e-19,0.0
2598,51.959,-48.6478848,309.500131,390.7206884,1722.5769715,-48.648054,309.50001,390.1548292,1878.781156,-0.0056536,-0.0040286,-61.53706050000001,24000.0,-0.0001696,-0.0001209999999999,0.2827125,0.0,0.0756749999998973,-1.2812500000069746,0.0319999999987885,-0.6187499998588919,-58.75827499999957,-744.7500000008488,24018.636700000003,20775.325000001227,0.002,0.0054644775390625,0.0166754150390625,0.1151043701171875,6.0,10.0,180.0,0.3535157000000001,-5.7539063,-4.5405275,-43.8231446,-6.907063464442884e-21,8.255366472383394e-20,1.7721011371366304e-20,8.284215045419732e-20,0.0
2599,51.979,-48.6480663,309.5003028,389.43236719999993,2203.9591432,-48.648054,309.50001,388.6717605,2358.781156,0.0004010999999999,-0.0097578,-66.963219,24000.0,1.209999999999931e-05,-0.0002927999999999,0.2125033,0.0,-0.0546749999998041,7.443749999991343,0.0056000000000722,-5.856250000135788,-68.16649999999953,-136.2374999995808,24051.20085,-2626.42499999804,0.002,0.006260986328125,0.0147100830078125,-0.21351806640625,6.0,10.0,180.0,0.3720704,-5.711913999999999,-1.5659179,-16.8256348,-3.453531732221442e-21,4.127683236191696e-20,8.860505685683152e-21,4.142107522709866e-20,0.0
2600,51.999,-48.64787199999999,309.5001797,388.10418360000006,2684.5573029,-48.648054,309.50001,387.3252751,2838.781156,-0.0060769,-0.0057099,-55.2452532,24000.0,-0.0001823,-0.0001696999999999,0.060765,0.0,0.009999999999799,-3.8374999999923576,-0.0139250000003698,4.462500000101954,-61.35864999999967,816.3499999998436,24015.27215000001,-1029.9687500005573,0.002,0.0079150390625,0.016441650390625,-0.5053228759765624,6.0,10.0,180.0,0.3847655,-5.6918945,2.680664,-5.7468019,-1.726765866110721e-21,2.063841618095848e-20,4.430252842841576e-21,2.071053761354933e-20,0.0
