Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,a_e,phi,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
0,0.009,200.0000154,118.09998620000002,560.0000195,0.0002348,200.000019,118.09999,560.000019,0.0,0.0001162,7.579999999999999e-05,-4.06e-05,0.0,3.8e-06,3.8e-06,-9.999999999999981e-08,-0.0002348,-0.0004750000002218,0.4125000002019874,-0.0005000000001587,-0.0625000000198383,-0.0002250000022741,0.1562500031582203,0.017175,0.0,0.002,0.0080642700195312,0.009246826171875,0.0115859985351562,0.0,10.0,180.0,0.2402346,-5.1621096,0.3627929,0.0,0.0,0.0,0.0,0.0,0.0
1,0.019,200.0000154,118.0999832,560.0000194,9.74e-05,200.000019,118.09999,560.000019,0.0,9.06e-05,7.579999999999999e-05,5.499999999999998e-06,0.0,3.9e-06,6.8e-06,-9.999999999999973e-08,-9.74e-05,0.0,-0.056250000035618,2.500000029215244e-05,-0.1187499999666386,0.0002250000022741,0.1249999996844053,-0.03435,4.293749999999999,0.002,0.0090484619140625,0.009259033203125,0.0115234375,0.0,10.0,180.0,0.239258,-5.1625979,0.3627929,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0389999999999999,200.0000156,118.0999871,560.0000204,0.0004409,200.000019,118.09999,560.000019,0.0,0.0,-2.1800000000000008e-05,-4.61e-05,0.0,4e-06,2.9e-06,-9.999999999999995e-07,-0.0004409,-0.0004500000002849,-0.1187500000554564,0.0004749999998665,-0.187500000059515,-0.0002499999993688,-0.0624999998422026,0.03435,-8.5875,0.002,0.0079666137695312,0.0092330932617187,0.0116912841796875,0.0,10.0,180.0,0.2387697,-5.1625979,0.3632811999999999,0.0,0.0,0.0,0.0,0.0,0.0
3,0.059,200.0000136,118.0999861,560.0000175000001,0.0003034999999999,200.000019,118.09999,560.000019,0.0,0.0001162,1.7999999999999994e-05,5.16e-05,-0.0044454,5.8e-06,3.9e-06,1.9e-06,-0.0003034999999999,0.0004500000002849,0.0625000000198383,0.0,0.187500000059515,0.0,0.0562500005685251,-0.03435,0.0,0.002,0.008880615234375,0.0092514038085937,0.0114974975585937,0.0,10.0,180.0,0.2387696999999999,-5.1635745,0.3642578,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0789999999999999,200.0000127,118.0999892,560.0000204,9.74e-05,200.000019,118.09999,560.000019,0.0,0.0001347,4.319999999999999e-05,-4.06e-05,0.0,6.699999999999999e-06,8.000000000000002e-07,-1.0999999999999998e-06,-9.74e-05,-0.0002250000001424,0.1125000000712361,-0.0007249999999459,-0.0687500000928764,-0.0002250000022741,0.0562500005685251,0.0,4.29375,0.002,0.0083084106445312,0.0094924926757812,0.0117996215820312,0.0,10.0,180.0,0.2387697,-5.162109600000001,0.3632811999999999,0.0,0.0,0.0,0.0,0.0,0.0
5,0.099,200.0000175,118.09999,560.0000176,2.87e-05,200.000019,118.09999,560.000019,0.0,-2.109999999999999e-05,-7.960000000000001e-05,5.499999999999998e-06,0.0,1.9e-06,-3.388131789017201e-22,1.9e-06,-2.87e-05,-0.0002250000001424,0.0,0.0009750000000252,-0.0562499999468002,0.0002250000022741,-0.1125000011370502,0.017175,7.105427357601002e-16,0.002,0.0084213256835937,0.0091476440429687,0.0114166259765625,0.0,10.0,180.0,0.2382813999999999,-5.1621096,0.3632811999999999,0.0,0.0,0.0,0.0,0.0,0.0
6,0.119,200.0000193,118.0999863,560.0000195,0.0001661,200.000019,118.09999,560.000019,0.0,-2.109999999999999e-05,0.0001336,-4.61e-05,0.0,-9.999999999999993e-08,3.7e-06,8.470329472543004e-23,-0.0001661,0.0004500000002849,-0.1187500000554564,-0.0007249999999459,0.1812499999864769,-0.0002250000022741,0.0562500005685251,-0.017175,4.293749999999999,0.002,0.0085479736328125,0.00941162109375,0.0116958618164062,0.0,10.0,180.0,0.239258,-5.1625979,0.3627929,0.0,0.0,0.0,0.0,0.0,0.0
7,0.139,200.0000174,118.0999891,560.0000194,2.8700000000000003e-05,200.000019,118.09999,560.000019,0.0,0.0,1.7999999999999994e-05,5.499999999999998e-06,0.0,2e-06,8.999999999999999e-07,-9.999999999999989e-08,-2.8700000000000003e-05,-0.0007000000003642,-0.056250000035618,0.0004749999998665,-0.3062500000261536,0.0004750000016429,-0.1187500004107278,0.0,-4.293749999999999,0.002,0.0086929321289062,0.0095657348632812,0.0116958618164062,0.0,10.0,180.0,0.2382813999999999,-5.1625979,0.3627929,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1589999999999999,200.0000137,118.09998620000002,560.0000186999999,2.8700000000000003e-05,200.000019,118.09999,560.000019,0.0,9.51e-05,6.859999999999999e-05,-9.22e-05,0.0,5.7e-06,3.8e-06,1.0000000000000002e-06,-2.8700000000000003e-05,0.0002250000001424,0.2375000001109128,-0.0007249999999459,0.2437500000063153,-0.0004750000016429,0.1750000009792529,0.0,-4.293749999999999,0.002,0.0082931518554687,0.0092666625976562,0.0116119384765625,0.0,10.0,180.0,0.2387697,-5.164062800000001,0.3637694999999999,0.0,0.0,0.0,0.0,0.0,0.0
9,0.179,200.0000183,118.0999881,560.0000222000001,0.0002348,200.000019,118.09999,560.000019,0.0,1.850000000000001e-05,-1.4600000000000008e-05,-4.61e-05,0.0,9.000000000000002e-07,1.9e-06,-3e-06,-0.0002348,0.0004750000002218,-0.1750000000910745,0.0007249999999459,-0.2437500000063153,0.0002250000022741,0.0687499991158802,0.017175,4.293749999999999,0.002,0.008740234375,0.0092758178710937,0.0115264892578125,0.0,10.0,180.0,0.2387696999999999,-5.1630862,0.3618163,0.0,0.0,0.0,0.0,0.0,0.0
