DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_TPESampler,1.6062595789572924
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_RandomSampler,9.286826127007233
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_GridSampler,12.166027624949885
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_TPESampler,-10.925817405643231
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_RandomSampler,3.960939120372206
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_GridSampler,2.0398387679056076
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_TPESampler,35.60391054726137
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_RandomSampler,33.84953479124342
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_GridSampler,36.44418968077264
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_TPESampler,23.77512466062869
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_RandomSampler,22.480011490129755
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_GridSampler,23.125829689092452
