DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Neural_Net,Neural_Net_TPESampler,-60.39221582244091
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Neural_Net,Neural_Net_RandomSampler,1.521541089641557
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Neural_Net,Neural_Net_GridSampler,-69.2475446126058
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Neural_Net,Neural_Net_TPESampler,-76.90092027528758
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Neural_Net,Neural_Net_RandomSampler,-2.9993689874692278
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Neural_Net,Neural_Net_GridSampler,-98.20703502158736
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Neural_Net,Neural_Net_TPESampler,-64.58652788823332
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Neural_Net,Neural_Net_RandomSampler,-31.445621327659513
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Neural_Net,Neural_Net_GridSampler,-113.52852516941749
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Neural_Net,Neural_Net_TPESampler,-79.42683785601987
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Neural_Net,Neural_Net_RandomSampler,-41.365282265995724
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Neural_Net,Neural_Net_GridSampler,-109.62713058499467
