DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
Reference,AL_2007_T4_Gear_Normal_3,Random_Forest,Ref Random Forest_TPESampler,41.38741774771535
Reference,AL_2007_T4_Gear_Normal_3,Random_Forest,Ref Random Forest_RandomSampler,-8.27401706970371
Reference,AL_2007_T4_Gear_Normal_3,Random_Forest,Ref Random Forest_GridSampler,-11.061107225342187
Reference,AL_2007_T4_Plate_Normal_3,Random_Forest,Ref Random Forest_TPESampler,25.57038203749304
Reference,AL_2007_T4_Plate_Normal_3,Random_Forest,Ref Random Forest_RandomSampler,12.836132975226066
Reference,AL_2007_T4_Plate_Normal_3,Random_Forest,Ref Random Forest_GridSampler,6.9127958763914155
Reference,S235JR_Gear_Normal_3,Random_Forest,Ref Random Forest_TPESampler,7.206653004327923
Reference,S235JR_Gear_Normal_3,Random_Forest,Ref Random Forest_RandomSampler,4.111744955166852
Reference,S235JR_Gear_Normal_3,Random_Forest,Ref Random Forest_GridSampler,1.6299276181435551
Reference,S235JR_Plate_Normal_3,Random_Forest,Ref Random Forest_TPESampler,-10.93868294059768
Reference,S235JR_Plate_Normal_3,Random_Forest,Ref Random Forest_RandomSampler,-8.35403458901768
Reference,S235JR_Plate_Normal_3,Random_Forest,Ref Random Forest_GridSampler,1.8925631953343984
