DataSet,DataPath,Model,MAE,StdDev,MAE_Ensemble
Reference,AL_2007_T4_Gear_Normal_3,Random_Forest,0.24907983025230415,5.2662502028650513e-17,0.2476230116792237
Reference,AL_2007_T4_Plate_Normal_3,Random_Forest,0.26450603237191717,4.2998752849492583e-17,0.2631238225491523
Reference,S235JR_Gear_Normal_3,Random_Forest,0.16562962376300056,2.1499376424746292e-17,0.16436071160970306
Reference,S235JR_Plate_Normal_3,Random_Forest,0.09215699714207803,0.0,0.09155305236038618
Reference,AL_2007_T4_Gear_Normal_3,Ref Random Forest_TPESampler,0.14599212038048276,2.3221980631040627e-17,0.14651915064293683
Reference,AL_2007_T4_Plate_Normal_3,Ref Random Forest_TPESampler,0.19687082938220293,2.7755575615628914e-17,0.19607352642850015
Reference,S235JR_Gear_Normal_3,Ref Random Forest_TPESampler,0.15369327150602724,1.7554167342883506e-17,0.15481263384333663
Reference,S235JR_Plate_Normal_3,Ref Random Forest_TPESampler,0.10223775886702562,4.388541835720876e-18,0.10194225503193445
Reference,AL_2007_T4_Gear_Normal_3,Ref Random Forest_RandomSampler,0.2696887379245688,5.551115123125783e-17,0.2681460948311138
Reference,AL_2007_T4_Plate_Normal_3,Ref Random Forest_RandomSampler,0.23055368632916337,2.6331251014325257e-17,0.22935562845455398
Reference,S235JR_Gear_Normal_3,Ref Random Forest_RandomSampler,0.15881935606366354,1.2412670766236365e-17,0.1575817401468463
Reference,S235JR_Plate_Normal_3,Ref Random Forest_RandomSampler,0.09985582455952727,1.3877787807814457e-17,0.09912501018073684
Reference,AL_2007_T4_Gear_Normal_3,Ref Random Forest_GridSampler,0.2766308173532118,3.925231146709438e-17,0.27495386169730907
Reference,AL_2007_T4_Plate_Normal_3,Ref Random Forest_GridSampler,0.24622127027330473,3.1646225226420967e-17,0.24493491593106564
Reference,S235JR_Gear_Normal_3,Ref Random Forest_GridSampler,0.16292998078146015,8.777083671441753e-18,0.16167405269194426
Reference,S235JR_Plate_Normal_3,Ref Random Forest_GridSampler,0.09041286773224169,1.2412670766236365e-17,0.08981658302710191
