DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
Reference,AL_2007_T4_Gear_Normal_3,Recurrent_Neural_Net,Ref Recurrent_Neural_Net_TPESampler,3.802770405402609
Reference,AL_2007_T4_Gear_Normal_3,Recurrent_Neural_Net,Ref Recurrent_Neural_Net_RandomSampler,-22483.445340369217
Reference,AL_2007_T4_Gear_Normal_3,Recurrent_Neural_Net,Ref Recurrent_Neural_Net_GridSampler,7.452424315270247
Reference,AL_2007_T4_Plate_Normal_3,Recurrent_Neural_Net,Ref Recurrent_Neural_Net_TPESampler,-5.749260822268791
Reference,AL_2007_T4_Plate_Normal_3,Recurrent_Neural_Net,Ref Recurrent_Neural_Net_RandomSampler,-24886.3881913602
Reference,AL_2007_T4_Plate_Normal_3,Recurrent_Neural_Net,Ref Recurrent_Neural_Net_GridSampler,-3.4635435804430514
Reference,S235JR_Gear_Normal_3,Recurrent_Neural_Net,Ref Recurrent_Neural_Net_TPESampler,8.727168843457648
Reference,S235JR_Gear_Normal_3,Recurrent_Neural_Net,Ref Recurrent_Neural_Net_RandomSampler,-40179.34194398264
Reference,S235JR_Gear_Normal_3,Recurrent_Neural_Net,Ref Recurrent_Neural_Net_GridSampler,9.436348899778512
Reference,S235JR_Plate_Normal_3,Recurrent_Neural_Net,Ref Recurrent_Neural_Net_TPESampler,42.546890844703725
Reference,S235JR_Plate_Normal_3,Recurrent_Neural_Net,Ref Recurrent_Neural_Net_RandomSampler,-41503.65893548043
Reference,S235JR_Plate_Normal_3,Recurrent_Neural_Net,Ref Recurrent_Neural_Net_GridSampler,42.42726407494747
