DataSet,DataPath,Model,MAE,StdDev,MAE_Ensemble
Reference,AL_2007_T4_Gear_Normal_3,Recurrent_Neural_Net,0.43288397987021376,0.014409600309423329,0.4332201288741982
Reference,AL_2007_T4_Plate_Normal_3,Recurrent_Neural_Net,0.3869958732032649,0.011102054723140634,0.38619316363526796
Reference,S235JR_Gear_Normal_3,Recurrent_Neural_Net,0.2427831723522283,0.004786008414717722,0.24431853204602302
Reference,S235JR_Plate_Normal_3,Recurrent_Neural_Net,0.22532585598381064,0.003011659973850935,0.22477388956917344
Reference,AL_2007_T4_Gear_Normal_3,Ref Recurrent_Neural_Net_TPESampler,0.4164223959939803,0.09249210415614349,0.39452756883569284
Reference,AL_2007_T4_Plate_Normal_3,Ref Recurrent_Neural_Net_TPESampler,0.4092452753251372,0.08342086690840482,0.3922519801417466
Reference,S235JR_Gear_Normal_3,Ref Recurrent_Neural_Net_TPESampler,0.22159507497754655,0.022852682500800144,0.21442948129525471
Reference,S235JR_Plate_Normal_3,Ref Recurrent_Neural_Net_TPESampler,0.1294567099934844,0.004009112675482757,0.12468279994305709
Reference,AL_2007_T4_Gear_Normal_3,Ref Recurrent_Neural_Net_RandomSampler,97.76011698120462,292.10668831022804,97.43925668400914
Reference,AL_2007_T4_Plate_Normal_3,Ref Recurrent_Neural_Net_RandomSampler,96.69629116311188,288.96705313714733,96.33703250402002
Reference,S235JR_Gear_Normal_3,Ref Recurrent_Neural_Net_RandomSampler,97.79146417420276,292.6872343611071,97.05870219046857
Reference,S235JR_Plate_Normal_3,Ref Recurrent_Neural_Net_RandomSampler,93.74380061695639,280.8091334175017,93.17110560079622
Reference,AL_2007_T4_Gear_Normal_3,Ref Recurrent_Neural_Net_GridSampler,0.4006236288974564,0.10820751801664073,0.3563698246455519
Reference,AL_2007_T4_Plate_Normal_3,Ref Recurrent_Neural_Net_GridSampler,0.4003996439261761,0.09099521034328395,0.36146537848874155
Reference,S235JR_Gear_Normal_3,Ref Recurrent_Neural_Net_GridSampler,0.21987330513912143,0.023701353434640145,0.21387613894781765
Reference,S235JR_Plate_Normal_3,Ref Recurrent_Neural_Net_GridSampler,0.12972626003642346,0.003997052613075917,0.12460844495596443
