DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
ST_Plate_Notch,AL_2007_T4_Gear_Normal_3,Erd,Neural_Net,27.22141945577985
ST_Plate_Notch,AL_2007_T4_Gear_Normal_3,Erd,Random_Forest,80.16147594588556
ST_Plate_Notch,AL_2007_T4_Gear_Normal_3,Erd,Hybrid_Model_Phys_Erd_ML_Neural_Net,33.29141368793898
ST_Plate_Notch,AL_2007_T4_Gear_Normal_3,Erd,Hybrid_Model_Phys_Erd_ML_Random_Forest,77.00382486472958
ST_Plate_Notch,AL_2007_T4_Plate_Normal_3,Erd,Neural_Net,16.877523709375637
ST_Plate_Notch,AL_2007_T4_Plate_Normal_3,Erd,Random_Forest,56.28223192370856
ST_Plate_Notch,AL_2007_T4_Plate_Normal_3,Erd,Hybrid_Model_Phys_Erd_ML_Neural_Net,20.076021017057286
ST_Plate_Notch,AL_2007_T4_Plate_Normal_3,Erd,Hybrid_Model_Phys_Erd_ML_Random_Forest,38.73503057698556
ST_Plate_Notch,S235JR_Gear_Normal_3,Erd,Neural_Net,16.24765046251755
ST_Plate_Notch,S235JR_Gear_Normal_3,Erd,Random_Forest,73.05842824393982
ST_Plate_Notch,S235JR_Gear_Normal_3,Erd,Hybrid_Model_Phys_Erd_ML_Neural_Net,42.22022885938244
ST_Plate_Notch,S235JR_Gear_Normal_3,Erd,Hybrid_Model_Phys_Erd_ML_Random_Forest,73.98827970658535
ST_Plate_Notch,S235JR_Plate_Normal_3,Erd,Neural_Net,10.2074991095218
ST_Plate_Notch,S235JR_Plate_Normal_3,Erd,Random_Forest,70.90662267649843
ST_Plate_Notch,S235JR_Plate_Normal_3,Erd,Hybrid_Model_Phys_Erd_ML_Neural_Net,32.691099544528164
ST_Plate_Notch,S235JR_Plate_Normal_3,Erd,Hybrid_Model_Phys_Erd_ML_Random_Forest,70.99691744815352
