DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_0,0.7837183549911176
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_1,-3.7214424669252746
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_2,-8.45048537078444
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_3,-3.5526205504357233
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_4,-36.74448631045971
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_0,5.223275615803609
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_1,3.696304154554152
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_2,1.4979008642639193
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_3,-0.28625704762041726
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_4,-27.28735473403145
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_0,-5.034350474225261
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_1,-26.23738960865955
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_2,-37.286779787777284
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_3,-39.38287776928631
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_4,-54.4224864249203
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_0,-0.3977527966622738
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_1,-2.9084247125659295
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_2,-2.2762724106140815
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_3,-1.3140435700103392
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Recurrent_Neural_Net,PiNN_Thermo_4,-32.34277533813616
