DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Neural_Net,PiNN_0.01,
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Neural_Net,PiNN_1,
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Neural_Net,PiNN_100,
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Neural_Net,PiNN_0.01,
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Neural_Net,PiNN_1,
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Neural_Net,PiNN_100,
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Neural_Net,PiNN_0.01,
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Neural_Net,PiNN_1,
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Neural_Net,PiNN_100,
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Neural_Net,PiNN_0.01,
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Neural_Net,PiNN_1,
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Neural_Net,PiNN_100,
