DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
Reference,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_TPESampler,-17.463115184467053
Reference,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_RandomSampler,-28.041347886732037
Reference,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_GridSampler,-35.01013999758403
Reference,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_TPESampler,-16.420531836569346
Reference,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_RandomSampler,-36.92182954151253
Reference,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_GridSampler,-15.010156614716019
Reference,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_TPESampler,39.309417044644185
Reference,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_RandomSampler,11.511514594778918
Reference,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_GridSampler,39.05219067786717
Reference,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_TPESampler,22.80257118288628
Reference,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_RandomSampler,11.36125027495034
Reference,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_GridSampler,23.87855176744743
