DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
Reference,DMC60H_AL2007T4_Gear_Normal_3,Neural_Net,Neural_Net_TPESampler,-10.760348639593778
Reference,DMC60H_AL2007T4_Gear_Normal_3,Neural_Net,Neural_Net_RandomSampler,
Reference,DMC60H_AL2007T4_Gear_Normal_3,Neural_Net,Neural_Net_GridSampler,20.274992131356438
Reference,DMC60H_AL2007T4_Plate_Normal_3,Neural_Net,Neural_Net_TPESampler,-15.601041359132612
Reference,DMC60H_AL2007T4_Plate_Normal_3,Neural_Net,Neural_Net_RandomSampler,
Reference,DMC60H_AL2007T4_Plate_Normal_3,Neural_Net,Neural_Net_GridSampler,18.41983634186236
Reference,DMC60H_S235JR_Gear_Normal_3,Neural_Net,Neural_Net_TPESampler,40.362829774593685
Reference,DMC60H_S235JR_Gear_Normal_3,Neural_Net,Neural_Net_RandomSampler,
Reference,DMC60H_S235JR_Gear_Normal_3,Neural_Net,Neural_Net_GridSampler,34.21648081548413
Reference,DMC60H_S235JR_Plate_Normal_3,Neural_Net,Neural_Net_TPESampler,28.144971207773782
Reference,DMC60H_S235JR_Plate_Normal_3,Neural_Net,Neural_Net_RandomSampler,
Reference,DMC60H_S235JR_Plate_Normal_3,Neural_Net,Neural_Net_GridSampler,25.287752519636676
