DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
Reference,DMC60H_AL2007T4_Gear_Normal_3,Random_Forest,Random_Forest_TPESampler,1.616514452954404
Reference,DMC60H_AL2007T4_Gear_Normal_3,Random_Forest,Random_Forest_RandomSampler,1.797825974531033
Reference,DMC60H_AL2007T4_Gear_Normal_3,Random_Forest,Random_Forest_GridSampler,2.187168040449312
Reference,DMC60H_AL2007T4_Plate_Normal_3,Random_Forest,Random_Forest_TPESampler,0.0761828411673095
Reference,DMC60H_AL2007T4_Plate_Normal_3,Random_Forest,Random_Forest_RandomSampler,0.09905337829388945
Reference,DMC60H_AL2007T4_Plate_Normal_3,Random_Forest,Random_Forest_GridSampler,0.579401315177858
Reference,DMC60H_S235JR_Gear_Normal_3,Random_Forest,Random_Forest_TPESampler,5.049944195743874
Reference,DMC60H_S235JR_Gear_Normal_3,Random_Forest,Random_Forest_RandomSampler,5.910016977745038
Reference,DMC60H_S235JR_Gear_Normal_3,Random_Forest,Random_Forest_GridSampler,6.50110258787206
Reference,DMC60H_S235JR_Plate_Normal_3,Random_Forest,Random_Forest_TPESampler,5.95751279162767
Reference,DMC60H_S235JR_Plate_Normal_3,Random_Forest,Random_Forest_RandomSampler,6.476142503841683
Reference,DMC60H_S235JR_Plate_Normal_3,Random_Forest,Random_Forest_GridSampler,5.703979897507823
