DataSet,DataPath,Model,MAE,StdDev,MAE_Ensemble
Reference,DMC60H_AL2007T4_Gear_Normal_3,Neural_Net,0.3475924296905302,0.03150137507317288,0.33101952521055644
Reference,DMC60H_AL2007T4_Plate_Normal_3,Neural_Net,0.3365745049031564,0.026371536201260183,0.3239721547787698
Reference,DMC60H_S235JR_Gear_Normal_3,Neural_Net,0.23662264313286227,0.04540502042351536,0.22604163879669203
Reference,DMC60H_S235JR_Plate_Normal_3,Neural_Net,0.19604803939925178,0.0474135563705219,0.18424967737393977
Reference,DMC60H_AL2007T4_Gear_Normal_3,Random_Forest,0.26110262582917815,5.551115123125783e-17,0.26005666643183895
Reference,DMC60H_AL2007T4_Plate_Normal_3,Random_Forest,0.20459210805956696,0.0,0.20364998500337309
Reference,DMC60H_S235JR_Gear_Normal_3,Random_Forest,0.13917917258215964,0.0,0.1407670311248074
Reference,DMC60H_S235JR_Plate_Normal_3,Random_Forest,0.0729505569000243,0.0,0.07249282510448692
Reference,DMC60H_AL2007T4_Gear_Normal_3,Recurrent_Neural_Net,0.2537227343811689,0.031240234522593356,0.2455498141053601
Reference,DMC60H_AL2007T4_Plate_Normal_3,Recurrent_Neural_Net,0.26963964303286403,0.023313079061958557,0.25842629244562765
Reference,DMC60H_S235JR_Gear_Normal_3,Recurrent_Neural_Net,0.1744772542619111,0.0114117992110619,0.1734376391293508
Reference,DMC60H_S235JR_Plate_Normal_3,Recurrent_Neural_Net,0.12924363891061436,0.0032525503642228458,0.12269755910302638
