DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
Reference,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_TPESampler,12.952474905181582
Reference,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_RandomSampler,13.864892623570778
Reference,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_GridSampler,0.9496382247514435
Reference,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_TPESampler,-16.946351885760475
Reference,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_RandomSampler,-15.823275543657319
Reference,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_GridSampler,-27.350432629399464
Reference,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_TPESampler,32.425443340304156
Reference,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_RandomSampler,34.23194404125239
Reference,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_GridSampler,38.10346270912123
Reference,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_TPESampler,20.77391600601303
Reference,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_RandomSampler,21.778596503067217
Reference,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_GridSampler,23.49716083300635
