DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
Reference,DMC60H_AL2007T4_Gear_Normal_3,Neural_Net,Neural_Net_TPESampler,4.851478222362853
Reference,DMC60H_AL2007T4_Gear_Normal_3,Neural_Net,Neural_Net_RandomSampler,16.062774548130175
Reference,DMC60H_AL2007T4_Gear_Normal_3,Neural_Net,Neural_Net_GridSampler,-252.47743040836923
Reference,DMC60H_AL2007T4_Plate_Normal_3,Neural_Net,Neural_Net_TPESampler,-30.302875448346768
Reference,DMC60H_AL2007T4_Plate_Normal_3,Neural_Net,Neural_Net_RandomSampler,-12.592968055802858
Reference,DMC60H_AL2007T4_Plate_Normal_3,Neural_Net,Neural_Net_GridSampler,-256.16815531691714
Reference,DMC60H_S235JR_Gear_Normal_3,Neural_Net,Neural_Net_TPESampler,39.235596499030706
Reference,DMC60H_S235JR_Gear_Normal_3,Neural_Net,Neural_Net_RandomSampler,38.15961325945706
Reference,DMC60H_S235JR_Gear_Normal_3,Neural_Net,Neural_Net_GridSampler,-786.0744436296976
Reference,DMC60H_S235JR_Plate_Normal_3,Neural_Net,Neural_Net_TPESampler,26.69107293165246
Reference,DMC60H_S235JR_Plate_Normal_3,Neural_Net,Neural_Net_RandomSampler,24.36296649960993
Reference,DMC60H_S235JR_Plate_Normal_3,Neural_Net,Neural_Net_GridSampler,-867.1996351035596
