DataSet,DataPath,Model,MAE,StdDev,MAE_Ensemble
ohne z,DMC_AL2007T4_Gear_Normal_3,Recurrent_Neural_Net,0.1772427816699173,0.02122138090529447,0.17719019321266966
ohne z,DMC_AL2007T4_Plate_Normal_3,Recurrent_Neural_Net,0.18824341683743442,0.015651816608881937,0.18568700332970414
ohne z,DMC_S235JR_Gear_Normal_3,Recurrent_Neural_Net,0.12328878051979039,0.005356047188257226,0.1265440705668431
ohne z,DMC_S235JR_Plate_Normal_3,Recurrent_Neural_Net,0.13301066422092023,0.0015201337735878597,0.13204190106810004
ohne z,DMC_AL2007T4_Gear_Normal_3,Random_Forest,0.1254091945217663,1.2412670766236365e-17,0.1251798778359357
ohne z,DMC_AL2007T4_Plate_Normal_3,Random_Forest,0.18307731112790976,1.7554167342883506e-17,0.18298744525413985
ohne z,DMC_S235JR_Gear_Normal_3,Random_Forest,0.10227568579645732,1.3165625507162628e-17,0.10202450050847983
ohne z,DMC_S235JR_Plate_Normal_3,Random_Forest,0.099190575017575,1.0749688212373146e-17,0.09835098311136976
mit z,DMC_AL2007T4_Gear_Normal_3,Recurrent_Neural_Net,0.12251662676180528,0.0273088604801877,0.11929498120953906
mit z,DMC_AL2007T4_Plate_Normal_3,Recurrent_Neural_Net,0.10049608858096273,0.027482189173029293,0.09513956643102164
mit z,DMC_S235JR_Gear_Normal_3,Recurrent_Neural_Net,0.10517006021458233,0.0033233305622120896,0.1058268231474875
mit z,DMC_S235JR_Plate_Normal_3,Recurrent_Neural_Net,0.0756488130220662,0.0011322557409307894,0.07416418782658539
mit z,DMC_AL2007T4_Gear_Normal_3,Random_Forest,0.09178096375748965,1.4555146645863654e-17,0.09178956707743173
mit z,DMC_AL2007T4_Plate_Normal_3,Random_Forest,0.11321689086530604,2.1046707277126847e-17,0.11282672090586916
mit z,DMC_S235JR_Gear_Normal_3,Random_Forest,0.10377232804749885,6.206335383118182e-18,0.10328621623064904
mit z,DMC_S235JR_Plate_Normal_3,Random_Forest,0.061698728935413984,1.3165625507162628e-17,0.06136587138292267
