DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
Plate_2,AL_2007_T4_Gear_Normal_3,Neural_Net,Random_Forest,45.21868060277814
Plate_2,AL_2007_T4_Gear_Normal_3,Neural_Net,Neural_Net_large,9.390727042415262
Plate_2,AL_2007_T4_Plate_Normal_3,Neural_Net,Random_Forest,7.437640273447831
Plate_2,AL_2007_T4_Plate_Normal_3,Neural_Net,Neural_Net_large,4.91840827917307
Plate_2,S235JR_Gear_Normal_3,Neural_Net,Random_Forest,69.94187296050526
Plate_2,S235JR_Gear_Normal_3,Neural_Net,Neural_Net_large,12.258935387974871
Plate_2,S235JR_Plate_Normal_3,Neural_Net,Random_Forest,68.92662311922231
Plate_2,S235JR_Plate_Normal_3,Neural_Net,Neural_Net_large,11.99665532776011
Plate_TrainVal,AL_2007_T4_Gear_Normal_3,Neural_Net,Random_Forest,45.56894283175997
Plate_TrainVal,AL_2007_T4_Gear_Normal_3,Neural_Net,Neural_Net_large,6.430963499895584
Plate_TrainVal,AL_2007_T4_Plate_Normal_3,Neural_Net,Random_Forest,18.18491787588109
Plate_TrainVal,AL_2007_T4_Plate_Normal_3,Neural_Net,Neural_Net_large,2.1735983207096474
Plate_TrainVal,S235JR_Gear_Normal_3,Neural_Net,Random_Forest,43.19371076176651
Plate_TrainVal,S235JR_Gear_Normal_3,Neural_Net,Neural_Net_large,-4.143504299395887
Plate_TrainVal,S235JR_Plate_Normal_3,Neural_Net,Random_Forest,38.7342276183407
Plate_TrainVal,S235JR_Plate_Normal_3,Neural_Net,Neural_Net_large,-17.452859445623623
