DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_TPESampler,52.999360364756484
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_GridSampler,51.94293283858668
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_RandomSampler,30.176786090734474
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_TPESampler,53.281188598473186
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_GridSampler,49.02416628416812
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_RandomSampler,18.204344756586313
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_TPESampler,57.36204801740708
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_GridSampler,57.14862739597758
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_RandomSampler,43.60315707624872
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_TPESampler,71.903843012044
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_GridSampler,71.81870948051883
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_RandomSampler,56.50632389716274
