DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Random_Forest,Random_Forest_TPESampler,15.830966671308117
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Random_Forest,Random_Forest_GridSampler,14.995273449154709
ST_Plate_Notch,DMC60H_AL2007T4_Gear_Normal_3,Random_Forest,Random_Forest_RandomSampler,14.743442078004703
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Random_Forest,Random_Forest_TPESampler,6.73506999721853
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Random_Forest,Random_Forest_GridSampler,7.184054526555325
ST_Plate_Notch,DMC60H_AL2007T4_Plate_Normal_3,Random_Forest,Random_Forest_RandomSampler,3.703604327309412
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Random_Forest,Random_Forest_TPESampler,2.061253664867183
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Random_Forest,Random_Forest_GridSampler,0.5348566283745726
ST_Plate_Notch,DMC60H_S235JR_Gear_Normal_3,Random_Forest,Random_Forest_RandomSampler,1.8573342903555095
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Random_Forest,Random_Forest_TPESampler,4.438018071457959
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Random_Forest,Random_Forest_GridSampler,3.7453228362360416
ST_Plate_Notch,DMC60H_S235JR_Plate_Normal_3,Random_Forest,Random_Forest_RandomSampler,3.49636628638639
