DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
Reference,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_TPESampler,43.50203923617549
Reference,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_RandomSampler,43.370213927133804
Reference,DMC60H_AL2007T4_Gear_Normal_3,LSTM,LSTM_GridSampler,32.79161636517339
Reference,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_TPESampler,-31.622010175616705
Reference,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_RandomSampler,-20.63407713457607
Reference,DMC60H_AL2007T4_Plate_Normal_3,LSTM,LSTM_GridSampler,-27.75180992516153
Reference,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_TPESampler,34.344516154302
Reference,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_RandomSampler,30.797682550653953
Reference,DMC60H_S235JR_Gear_Normal_3,LSTM,LSTM_GridSampler,30.46591108071092
Reference,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_TPESampler,49.87968097950119
Reference,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_RandomSampler,41.80918590042372
Reference,DMC60H_S235JR_Plate_Normal_3,LSTM,LSTM_GridSampler,41.62372130979086
