DataSet,DataPath,Reference_Model,Compared_Model,Improvement_Percent
Reference,DMC60H_AL2007T4_Gear_Normal_3,Random_Forest,Random_Forest_TPESampler,-18.582172671303383
Reference,DMC60H_AL2007T4_Gear_Normal_3,Random_Forest,Random_Forest_RandomSampler,-19.5459805487386
Reference,DMC60H_AL2007T4_Gear_Normal_3,Random_Forest,Random_Forest_GridSampler,-20.153624849721368
Reference,DMC60H_AL2007T4_Plate_Normal_3,Random_Forest,Random_Forest_TPESampler,7.372204534112969
Reference,DMC60H_AL2007T4_Plate_Normal_3,Random_Forest,Random_Forest_RandomSampler,7.568416737450639
Reference,DMC60H_AL2007T4_Plate_Normal_3,Random_Forest,Random_Forest_GridSampler,7.448496968112731
Reference,DMC60H_S235JR_Gear_Normal_3,Random_Forest,Random_Forest_TPESampler,-1.0127416105989544
Reference,DMC60H_S235JR_Gear_Normal_3,Random_Forest,Random_Forest_RandomSampler,-0.01776671659023691
Reference,DMC60H_S235JR_Gear_Normal_3,Random_Forest,Random_Forest_GridSampler,0.237204209774875
Reference,DMC60H_S235JR_Plate_Normal_3,Random_Forest,Random_Forest_TPESampler,3.7781483970688674
Reference,DMC60H_S235JR_Plate_Normal_3,Random_Forest,Random_Forest_RandomSampler,3.331476140723603
Reference,DMC60H_S235JR_Plate_Normal_3,Random_Forest,Random_Forest_GridSampler,2.6381327338930274
