DataSet,DataPath,Model,MAE,StdDev,MAE_Ensemble
ohne sign y,AL_2007_T4_Gear_Normal_3,Recurrent_Neural_Net,0.1528003179319754,0.0160853401079395,0.1458635193343668
ohne sign y,AL_2007_T4_Plate_Normal_3,Recurrent_Neural_Net,0.1699774444580861,0.012900538396299219,0.1644288810339741
ohne sign y,S235JR_Gear_Normal_3,Recurrent_Neural_Net,0.12066905706094613,0.005145335308791151,0.11921384318514332
ohne sign y,S235JR_Plate_Normal_3,Recurrent_Neural_Net,0.12919807762813731,0.0023065132524344436,0.1276556356055468
ohne sign y,AL_2007_T4_Gear_Normal_3,Random_Forest,0.12242443817462074,1.2412670766236365e-17,0.12351883165215956
ohne sign y,AL_2007_T4_Plate_Normal_3,Random_Forest,0.19293814008212604,1.962615573354719e-17,0.19247059779195624
ohne sign y,S235JR_Gear_Normal_3,Random_Forest,0.10109615742987703,0.0,0.10057958843746213
ohne sign y,S235JR_Plate_Normal_3,Random_Forest,0.10038014671922117,1.5202354861220293e-17,0.09954485144696187
mit sign y,AL_2007_T4_Gear_Normal_3,Recurrent_Neural_Net,0.17264348518709635,0.06788210023728941,0.16184068874241922
mit sign y,AL_2007_T4_Plate_Normal_3,Recurrent_Neural_Net,0.15311468633820022,0.06754790331400379,0.14039727937836427
mit sign y,S235JR_Gear_Normal_3,Recurrent_Neural_Net,0.1161833245698991,0.008039722788454396,0.11199505795893357
mit sign y,S235JR_Plate_Normal_3,Recurrent_Neural_Net,0.12431726547349897,0.0013235681719388466,0.12229368297825893
mit sign y,AL_2007_T4_Gear_Normal_3,Random_Forest,0.17564000785933848,1.5202354861220293e-17,0.17488741167320782
mit sign y,AL_2007_T4_Plate_Normal_3,Random_Forest,0.19493376851241423,2.7755575615628914e-17,0.19411801078883698
mit sign y,S235JR_Gear_Normal_3,Random_Forest,0.1048824839191125,1.642041997679149e-17,0.10368901698691475
mit sign y,S235JR_Plate_Normal_3,Random_Forest,0.10314136739568536,1.1610990315520314e-17,0.10230173663852947
