DataSet,DataPath,Model,MAE,StdDev,MAE_Ensemble
ZeroValues,AL_2007_T4_Gear_Normal_3,Random_Forest,0.13578216787673733,0.015174083956927164,0.12266722237522382
ZeroValues,AL_2007_T4_Plate_Normal_3,Random_Forest,0.20951543568962258,0.019831047363013457,0.1953511932194774
ZeroValues,S235JR_Gear_Normal_3,Random_Forest,0.10315835406949195,0.0015463462579088064,0.09822493833180729
ZeroValues,S235JR_Plate_Normal_3,Random_Forest,0.09615378133991595,0.0018759240778241518,0.09051652631691481
Values5,AL_2007_T4_Gear_Normal_3,Random_Forest,0.19369513695343085,0.0194282602976427,0.17896861091996102
Values5,AL_2007_T4_Plate_Normal_3,Random_Forest,0.2642272838961114,0.03273563159441375,0.25640566702171513
Values5,S235JR_Gear_Normal_3,Random_Forest,0.10589676840765208,0.005928472509648839,0.09862842877829288
Values5,S235JR_Plate_Normal_3,Random_Forest,0.08160472200719922,0.0010927356854886488,0.07616856464738339
Values10,AL_2007_T4_Gear_Normal_3,Random_Forest,0.19215920609326592,0.016113469731639633,0.1749148771609893
Values10,AL_2007_T4_Plate_Normal_3,Random_Forest,0.24238196461586603,0.028150317468368616,0.23270345870720419
Values10,S235JR_Gear_Normal_3,Random_Forest,0.10313884410398666,0.0052485428685905885,0.0968736884098305
Values10,S235JR_Plate_Normal_3,Random_Forest,0.06764838707647311,0.0012514354713055596,0.062330761180890086
