DataSet,DataPath,Model,MAE,StdDev,MAE_Ensemble
mit z,AL_2007_T4_Gear_Normal_3,Neural_Net,0.12097109941391251,0.03020003473976864,0.10576885588706622
mit z,AL_2007_T4_Plate_Normal_3,Neural_Net,0.10231599178109194,0.028882965734664617,0.0791139740374264
mit z,S235JR_Gear_Normal_3,Neural_Net,0.13153836767084054,0.030869328932995183,0.12063694879642527
mit z,S235JR_Plate_Normal_3,Neural_Net,0.09198008668545835,0.033351949552349276,0.08014492580843552
mit z,AL_2007_T4_Gear_Normal_3,PiNNFriction,0.28925039038871514,0.10220263200341738,0.28437879666335847
mit z,AL_2007_T4_Plate_Normal_3,PiNNFriction,0.20127388422364634,0.07748757865566128,0.18325990189650404
mit z,S235JR_Gear_Normal_3,PiNNFriction,0.20692300128522412,0.08125892103629953,0.17167209285577892
mit z,S235JR_Plate_Normal_3,PiNNFriction,0.14640571994131274,0.061634597059111944,0.12003716433587405
mit z,AL_2007_T4_Gear_Normal_3,PiRNNFriction,0.20978166760514302,0.054663233167420375,0.20523404635415582
mit z,AL_2007_T4_Plate_Normal_3,PiRNNFriction,0.1548364204653783,0.06585062221058867,0.14121524857032158
mit z,S235JR_Gear_Normal_3,PiRNNFriction,0.15490240882601955,0.035748670143505475,0.14165728236951958
mit z,S235JR_Plate_Normal_3,PiRNNFriction,0.11320187428857202,0.03405716064042379,0.1029958928550567
