DataSet,DataPath,Model,MAE,StdDev,MAE_Ensemble
ohne z,DMC60H_AL2007T4_Gear_Normal_3,Recurrent_Neural_Net,0.20999462589026333,0.022740764853148212,0.20400649781559005
ohne z,DMC60H_AL2007T4_Plate_Normal_3,Recurrent_Neural_Net,0.1943461615648155,0.012261208739024934,0.18956335312533876
ohne z,DMC60H_S235JR_Gear_Normal_3,Recurrent_Neural_Net,0.14812934651444087,0.009899473483407629,0.14791544561932832
ohne z,DMC60H_S235JR_Plate_Normal_3,Recurrent_Neural_Net,0.14046549604685568,0.002370479818084194,0.14455919514152907
ohne z,DMC60H_AL2007T4_Gear_Normal_3,Random_Forest,0.13908325182394138,0.0,0.1405945773752049
ohne z,DMC60H_AL2007T4_Plate_Normal_3,Random_Forest,0.21110574162337387,3.1646225226420967e-17,0.21109431930144545
ohne z,DMC60H_S235JR_Gear_Normal_3,Random_Forest,0.10164400208568306,9.813077866773595e-18,0.10464428184094982
ohne z,DMC60H_S235JR_Plate_Normal_3,Random_Forest,0.09515272750079318,9.813077866773595e-18,0.09433825471165053
mit z,DMC60H_AL2007T4_Gear_Normal_3,Recurrent_Neural_Net,0.08535782591364449,0.003371483827637138,0.08429108761668212
mit z,DMC60H_AL2007T4_Plate_Normal_3,Recurrent_Neural_Net,0.07564660899886419,0.005017605330434715,0.07418287279350255
mit z,DMC60H_S235JR_Gear_Normal_3,Recurrent_Neural_Net,0.10354641162615415,0.0018275020282167854,0.1027704731248016
mit z,DMC60H_S235JR_Plate_Normal_3,Recurrent_Neural_Net,0.0741505791393943,0.0009469259551084259,0.07430148124932293
mit z,DMC60H_AL2007T4_Gear_Normal_3,Random_Forest,0.14280246501118948,2.1499376424746292e-17,0.14312217741708236
mit z,DMC60H_AL2007T4_Plate_Normal_3,Random_Forest,0.12671438832829257,1.962615573354719e-17,0.12649056114202353
mit z,DMC60H_S235JR_Gear_Normal_3,Random_Forest,0.10038765156816216,4.388541835720876e-18,0.10134590530616341
mit z,DMC60H_S235JR_Plate_Normal_3,Random_Forest,0.05581149985745917,1.1401766145915221e-17,0.05537048559855925
